,標題,分類,內文
0,[問卦] 為什麼阿妹演唱會聲量天差地遠？,Gossiping,"女口是頁

阿妹昨天開始在大巨蛋開演唱會

和周杰倫一樣是天花板等級的歌手

雖然還是不少人去 也有新聞討論

但是相比聲量怎麼差那麼多


事情沒有多少人知道

演唱會期間也沒多少人立即分享

脆上只有零星的片段

吵三天三夜震盪讓居民驚怕的文還比較熱門

這差別在哪裡啊？

"
1,[問卦] 小林說那個女網紅在現實社會大概PR多少,Gossiping,"極智慧和顏值於一身
又是學霸
又進過華爾街
能把專業的東西敘述得條理分明
還願意放下身段搞笑扮醜
還很會賺錢
這樣的女網紅在現實社會中
大概是PR多少的存在
真是豈有此理！

"
2,[新聞] 白吐司「不再是健康食物」 美國30年大調,Gossiping,"中時

白吐司「不再是健康食物」 美國30年大調整 新增4類

吳慧芬

https://images.chinatimes.com/newsphoto/2024-12-22/1024/20241222000856.jpg
美國食品藥物管理局更新食物健康的定義，將白吐司自健康食物名單中剔除。（示意圖，
Shutterstock／達志）

看過美國影集的人，會注意到很多人的早餐是吃一碗牛奶加穀片，不過，美國食品藥管理
局（FDA）近日重新定義食物「健康」定義，將過去在健康食物名單內的白吐司、早餐穀
片、優格剔除，新加入堅果與部分種子類食材、雞蛋、鮭魚、橄欖油，這也是FDA在30年
前發表健康飲食標準後首次的重大變革。

《CNN》報導，根據美國FDA 的數據，多數美國人的飲食中飽和脂肪、添加糖和鈉的含量
，超出了飲食建議，而且大多數人的飲食中水果和蔬菜的含量都很低，FDA 意識到與飲食
相關的疾病，包括心臟病、癌症和糖尿病，是美國人疾病的主要原因，並導致美國人壽命
減少。

報導中指出，FDA將通知廠商更改食物標籤，並要求符合「健康標章」定義的食品，要求
限制食物中的飽和脂肪、鈉與糖分，美國飲食指南所列出健康食物也需包含在內，過去在
名單內的白吐司、早餐穀片及優格，將被剔除；而堅果與部分種子類食材、鮭魚、橄欖油
與雞蛋，則是被新納入的食物。

報導中指出，改善營養資訊的取得，是FDA可以採取的一項重要公共衛生工作，近期將研
發標章，如果廠商出產的食品符合康定義，將可申請「健康標章」，以幫助消費者找到有
營養的食物，並建立健康的飲食模式。

https://www.chinatimes.com/realtimenews/20241222000852-260418?chdtv

先吃個培根蛋吐司壓驚

"
3,[問卦] 鳥兒為啥不說此生不入中國,Gossiping,"如題，
輕鳥整天看到中國就幹幹叫，整天說別人舔中，自己抗中保台

結果他們不宣示說絕對不踏進中國半步，反而先宣布不踏進自已土生土長的土地半步



這是什麼邏輯?有沒有八卦?






"
4,[問卦] 聖誕卡片買了沒？,Gossiping,"欸！八卦板的各位阿伯們大家好！

再過兩天就是平安夜了啦，大家趕快趁著今天禮拜天，去文具店購買幾張聖誕卡，再買一些
可愛小貼紙貼上去！

文情並茂、文思泉湧的將心中想說的話寫上去，在平安夜那天下班時，分送給過命交情的兄
弟朋友、心儀已久的可愛女同事，促進一下感情交流吧！

你買好了嗎？

呱？

"
5,[問卦] 女T跟8+9哪一個比較雞掰？,Gossiping,"※ 八卦板務請到 GossipPicket 檢舉板實名詢問
※ a.張貼問卦請注意，充實文章內容、是否有專板，本板並非萬能問板。
※ b.一天只能張貼 ""三則"" 問卦，自刪及被刪也算三篇之內，
※   超貼者將被水桶，請注意!
※ c.本看板嚴格禁止政治問卦，發文問卦前請先仔細閱讀相關板規。
※ d.未滿30繁體中文字水桶1個月
※   未滿20繁體中文字水桶2個月
※   未滿10繁體中文字水桶3個月，嚴重者以鬧板論，請注意！
※ (↑看完提醒請刪除ctrl + y)


在路上碰到這兩種人一定是不停的罵髒話

不把人當人看 活在自己世界


幾乎都是月光族低學歷

請問這兩種人哪一種比較雞掰？

"
6,[問卦] 男友會自己打手槍正常嗎？,Gossiping,"
欸
我朋友說
他男友跟他在一起半年了
前幾天他發現
他男友會自己打手槍欸
這很正常嗎？
為什麼不跟另一半捉i或者讓另一半幫忙尻？

"
7,[問卦] line檢舉詐騙功能是花瓶嗎==？,Gossiping,"哈囉 是我阿肥啦 像標題

賴的檢舉詐騙功能是484花瓶

有無八卦版啦

==？

"
8,Re: [問卦] 蹦闆開直播道歉了 大家接受嗎？,Gossiping,"※ 引述 《howard416》 之銘言：
: 標題：[問卦] 蹦闆開直播道歉了 大家接受嗎？
: 時間: Sun Dec 22 13:24:11 2024
: 
: https://www.youtube.com/live/gQSINLBq8JM?si=U2P2HX1ALzKiUxeZ
: 大意就是說
: 動手的人確實是蹦闆這邊的人
: 但蹦闆沒教唆是小弟自己搞出來的
: 他也對主辦跟統神道歉沒管好自己小弟
: 拳套重量是雙方談好且統神多收20萬才答應的
: "
9,Re: [問卦] 拳王泰森拳套帶14盎司 那帶18盎司是？,Gossiping,"好奇 歷史上有人戴 18盎司的 上場打贏過嗎?

好像沒有吧

既然如此  為何順便不讓統神 戴手銬上場?

這樣磞闆也就不會被打到流鼻血了


※ 引述《caca7 (caca)》之銘言：
: 是這樣的啦
: 拳王泰森前陣子打一場拳賽引爆拳擊熱
: 拳王泰森配戴14盎司拳套
: 最近世界各地也開始瘋狂舉辦拳賽
: 現佇時
: 有一個只練了三個月的新手
: 比賽時卻戴18盎司拳套應戰
: 哇靠
: 整整比世界拳王泰森多了4盎司
: 這個戴18盎司的是何方神聖呀？
: 太神了吧？

"
10,[問卦] 真的有對高雄不公平嗎?網路1直洗高雄被搶,Gossiping,"奇怪
高雄真的有比較不公平嗎?
說啥高雄的錢都被搶了
台南也有出來哭

真的有不公平嗎
高雄台南的錢真的都被台北台中搶走了嗎

分配方式真的有不公平嗎

有沒有人解析一下

"
11,[問卦] 手冰一定要放內褲嗎？,Gossiping,"那個啦

室友晚上睡覺

都習慣雙手插在內褲裡

我每次才上去他房間

掀開他的被子都會看到

我還會故意抽他的手

但他都死死插著無動於衷

請問大家也會雙手插內褲嗎？
"
12,[問卦] 抗議人數從10萬變1500為什?,Gossiping,"5月抗議時

報紙還說集結10萬人

才短短半年

用ai算數剩1500人

人也少太多了吧?


是天氣太冷?

是找到工作?

還是領9萬的職缺沒缺了?


抗議人數從10萬變1500為什?


"
13,[新聞] 統神「躺病床傷照」瘋傳　本尊是他！實況,Gossiping,"統神「躺病床傷照」瘋傳　本尊是他！實況主傻眼哭：那麼像？

來源是ETTODAY

https://www.ettoday.net/news/20241222/2878367.htm


記者鄺郁庭／綜合報導

「亞洲統神」張嘉航21日在《拳上 2024》對決「蹦闆」呂育銓，兩人激戰6回合，最後蹦
闆獲勝，賽事相關話題引發熱議。網上就傳出一張「統神比賽受傷照」，結果真相一出，
當事人忍不住傻眼，發文直呼「我那張受傷照片真的有那麼像統神嗎？嗚嗚嗚，讓我澄清
一下啊啊啊！現在整個PTT都是我車禍照片是安怎啦！」

《拳上 2024》賽事過後，PTT八卦板出現超多「統神躺病床傷照」，紛紛問卦「欸統神你
進來一下」、「認真 為什麼統神輸了」、「剛打完就請一堆網軍洗統神受傷的AI圖？」

結果，一名實況主「Da的遊戲實況台」就在粉專發文，「白癡喔，昨天晚上被一堆朋友消
息洗版」，因為他前幾年出車禍的照片，被拿去當成統神拳賽受傷照片，傻眼道「哭啊！
那並不是好嗎？還有說什麼是統神AI圖的我真是昏倒，我那張受傷照片真的有那麼像統神
嗎？」崩潰直呼「嗚嗚嗚，讓我澄清一下啊啊啊！現在整個PTT都是我車禍照片是安怎啦
？」

貼文一出，粉絲忍不住笑出來，「快笑死，今晚唯一受傷的人出現了」、「Da沒有輸，他
連上場也沒上場」、「難怪我覺得怎麼好像看過，原來是Da」、「不是統粉，我覺得真的
滿像的」、「莫名躺槍…其實真的很像啦」、「甚至沒發現那不是統神。」






等等等
那不是統神??


"
14,[問卦] 為什麼成龍在美國可以家喻戶曉?,Gossiping,"對!

聽說成龍知名度很扯!

很多美國人都聽過

這是為什麼

感覺電影很搞笑


代表作是""我是誰""

就是武打很強


所以成龍根本影壇周杰倫

是不是!!!


兩位在美國都知名度超高

是不是!

"
15,[問卦] 正妹親吻核廢料,Gossiping,"https://i.imgur.com/OyUwRRZ.jpeg

金髮妹在推特上po了親吻核廢料儲存槽的照片

結果下面一堆反核仔崩潰

說他會讓自己小孩變畸形之類的
他直接科普回覆儲存槽的防護做用來打臉
實際上他就只是親了水泥牆而已

為什麼國外的擁核會有正妹
我們國內都一些拐瓜劣棗的臭阿伯

卦?

"
