,標題,分類,內文
0,Re: [情報] 全聯 電動牙刷不給了,Lifeismoney,"歐樂B補償方案12-2啟動

▶ 客服/法務建議話術:

PX瑪特

感謝支持「Crest/歐樂B牙膏任6條加購歐樂B電動牙刷D12013A」檔期活 動,本次活動買氣踴躍,然而因原物料短缺,為免耽誤您寶貴的時間,全 聯福利中心將提供您下列優質方案,歡迎至原消費門市辦理:

☆退刷補償方案:全部辦理退貨,這邊提供補償一支歐樂B牙膏+一個歐樂B牙線(2入)

☆牙刷替換方案

方案-A:牙膏6條保留,牙刷替換成『吉列Proshield5+1鋒護系列 刮鬍刀頭4刀頭』

方案-B:牙膏6條保留,牙刷替換成『風倍清天然織物噴霧(南法薰衣草) 370ml/風倍清天然織物噴霧(大馬士革玫瑰)370ml』共3瓶

http://i.imgur.com/HcuF4CT.jpg

"
1,[情報] 12/25 嘉義捐血 送中油生技沐浴洗髮禮盒,Lifeismoney,"台灣中油煉製研究所邀您逗陣來捐血

日期:113年12月25日(三)8:30-16:30

地點:嘉義市國華街與興業東路口
中油邀您一起用捐血為生命加油


捐血250CC加送中油生技沐浴洗髮禮盒x1
市價299+299=598元

捐血500CC加送中油生計沐浴洗髮禮盒x2
市價598+598=1196


https://vipmbr.cpc.com.tw/CPCBIO/index.html
https://www.facebook.com/photo?fbid=998743098965582&set=a.630907135749182

"
2,[情報] 茂昌草本茶：紅豆湯圓買一送一,Lifeismoney,"時間 : 12月21日(六）
地點 : 新竹埔東店，新竹中正店，竹北勝利店，竹北博愛店
       林口華亞店，中壢中美店，楊梅楊新店，湖口站前店
優惠 : 紅豆湯圓(55元)買一送一
理由 : 冬至就是要來碗紅豆湯圓

https://i.imgur.com/R8istxh.png
https://i.imgur.com/GRpGnOL.png










"
3,[情報] 註冊會員領7-11禮券,Lifeismoney,"忘記上次在哪看到的
註冊保誠人壽會員就能拿到7-11的50元禮券
https://online.pcalife.com.tw/oicms/HowMaji/index_new
https://imgur.com/a/kJC2qzA

不到3分鐘填完五題，禮券序號隔月月底前會簡訊寄到註冊的手機號碼
（時間拉得有點長，收到的時候根本都忘記當初有參加活動了，但換個角度想，會有口袋撿
到200元的開心…）
裡面還有些免費的健身、低卡路里漢方食譜、滿特別的活動好像只到12/31

"
4,Re: [情報] Whoscall 進階版一個月,Lifeismoney,"前陣子不能兌換，現在中國信託又出現了，要對換的可以趕快兌換

可使用至1/31
我換了兩張

http://i.imgur.com/XCFFy7X.jpg


 引述《sin70 ()》之銘言：
: 如果你有在用中國信託APP，可以免費換Whoscall進階版一個月的序號。
: 優惠→領酷碰這邊，很多酷碰券基本上都是廢券，所以才會累積一堆次數都沒在換：
: https://i.imgur.com/AMBZthD.jpeg
: https://i.imgur.com/nQYfjK0.jpeg
: 不過換Whoscall進階版序號還不錯，一次可換一張：
: https://i.imgur.com/TRKEz53.jpeg
: 現在換序號效期到明年一月底，所以可多換幾張，每月用一張，可用到明年二月：
: https://i.imgur.com/R8eZcei.jpeg
: ※ 引述《shshen79 (D.G)》之銘言：
: : 禮物代碼「 HamiPassGift 」
: : 兌換步驟
: : 一：下載 Whoscall 並登入。
: : 二：打開瀏覽器輸入以下網址：
: : https//redeem.whoscall.com
: : 三：登入 Whoscall 帳號，並輸入禮物代碼進行兌換，完成即可使用Whoscall 進階版?
: : 個月。
: : https://i.imgur.com/6S5Nq0A.jpeg

"
5,[討論] KKBOX週年慶 送pandapro2個月跟電商折價,Lifeismoney,"
KKBOX年約活動
https://kkbox.fm/Q3qIM2
個人1380
家庭用6人去算，每天不到1塊
整體比S牌便宜

又送panda pro
這很讓人心動
Momo/yahoo折價券就還好
https://imgur.com/a/EWzAVcF.jpeg


只是用S就是比較潮
陷入選擇障礙

"
6,[情報] Line Points 1+2,Lifeismoney,"不知道是舊的我沒拿過還是新的，供參考…

加好友1P
https://i.imgur.com/qjpbSw5.jpeg

看網頁2P
https://i.imgur.com/8wJkTkL.jpeg

"
7,[情報] 艾瑪絲 強健養髮精華液EX-涼感,Lifeismoney,"https://i.imgur.com/D5FsbNS.jpeg
領這張8折券可以折$336
https://reurl.cc/967jyY
折後$1344
AROMASE 艾瑪絲 進階版草本強健養髮精華液EX-涼感 115ml(髮密度養成/提升豐厚感)
傳送門：https://reurl.cc/mRrVN9
還有兩個贈品
https://i.imgur.com/JMnmtTR.jpeg
平常有用這罐的可參考 這價格和贈品都不錯

"
8,[情報] EPIC限免 吸血鬼倖存者Vampire Survivors ,Lifeismoney,"幾年前的熱門免費獨立遊戲
2024/12/21 凌晨截止
https://i.imgur.com/xZZDuGR.jpeg

https://store.epicgames.com/zh-Hant/p/vampire-survivors-f699a1







"
9,[情報] 亞馬遜疑似標錯價 WD SN7100 4TB $64.99,Lifeismoney,"亞馬遜疑似標錯價格
 
選項 4TB SSD 標價64.99美
可以免運到台灣
但圖片是500GB
 https://i.imgur.com/4YUuvAF.jpeg
 
有下單兩條，訂單也是寫500GB
 https://i.imgur.com/yZQPBV4.jpeg
 
不確定是否會出貨
不知道有沒有知道這樣會是4TB的還是500GB的
 
若擔心的人，等我收到貨後或者跟客服反應後會再分享
 
詢問客服後說會出4TB
https://i.imgur.com/viDvXHI.jpeg

第一次分享情報請多見諒
 
"
