,標題,分類,內文
0,[食記] 台南中西 愛糕糕創意年糕飯捲店 送魚板串,7002,"   餐廳名稱：愛糕糕創意年糕飯捲店
   消費時間：2024年/12月
   地址：台南市中西區國華街三段100-4號
   電話：無電話
   營業時間：暫未確定
             12/15~12/19 11:00~20:00
             12/20~12/24 8:00~20:00
   每人平均價位：100
   可否刷卡：否
   有無包廂：無


網誌版 https://little15.pixnet.net/blog/post/50990532

台南韓國料理-愛糕糕創意年糕飯捲店是我的愛店八道江山韓式在地料理新開的二號店，
位於台南旅遊必吃的國華街內，主打韓國街邊小吃，有年糕、韓式飯捲和特別的韓國飲料
，非常有特色。
目前愛糕糕創意年糕飯捲店才開賣第2天，網路上還沒有食記介紹，簡單寫一篇分享給喜
歡台南異國料理的人。
1大在愛糕糕創意年糕飯捲店消費100元。

愛糕糕創意年糕飯捲店試營幕有IG追蹤加限動送魚板串一支。
先給大家試營運時間，免得白跑一趟。12/15~12/19 11:00~20:00  及12/20~12/24
8:00~20:00都有營業。

愛糕糕創意年糕飯捲店店外觀
剛開幕生意就很好，我今天去前面排了兩組客人，但出餐算快啦。
國華街本來就很難找停車位，我騎機車也稍微繞了一下才找到路邊暫停。


店員有穿韓國服裝，更有異國風情。

愛糕糕創意年糕飯捲店價目表/愛糕糕創意年糕飯捲店菜單


愛糕糕創意年糕飯捲店的店員挺貼心的，看客人等太久，會主動提供熱湯、炒年糕給客人
試吃。

免費贈送的魚板，不太方便外帶。

本來店員裝在紙杯裡直接給我，但紙杯裡還有裝湯，很難騎機車，所以我有多要一個塑膠
提袋。

韓劇常出現的小吃-魚板，吃起來還不錯哦，但我會很想要沾關東煮的醬料就是了。

今天的主角韓式飯捲出動

外面的海苔還有用韓式香油和灑白芝麻，蠻香的，一打開就有濃郁的香味。
整體來說，很沈甸甸，澱粉夠多，會吃的非常飽。

愛糕糕創意年糕飯捲店的飯捲最便宜是100元，我點招牌飯捲，有韓國黃蘿蔔、蛋絲、紅
蘿蔔絲、菠菜，黃蘿蔔很爽脆。

不會太重口味，屬於比較清爽的想若是敢吃辣的，或愛重口味，可以嚐試韓式辣炒豬肉或
炒牛肉，應該會更加開胃。

愛糕糕創意年糕飯捲店滿足了我看完非常律師禹英禑後，一直很想要吃道地韓國飯捲的願
望，太開心了。

韓國飯捲的確蠻好吃，也很有飽足感，而且它屬於不用馬上吃完，也還是很好吃。

推薦大家有到台南國華街找台南小吃，不妨去嚐鮮新開幕的愛糕糕創意年糕飯捲店。



"
1,[食記] 台南永康 忠孝路無名臭豆腐 生意超好,7002,"   餐廳名稱：忠孝路無名臭豆腐
   消費時間：2024年/12月
   地址：台南市永康區忠孝路136號
         (在忠孝路239巷口)
   電話：無電話
   營業時間：週一~週日14:30-~19:00(週五公休)
   每人平均價位：約70元
   可否刷卡：否
   有無包廂：無

網誌版 https://little15.pixnet.net/blog/post/50990524

台南永康美食-忠孝路無名臭豆腐是我經過看到還沒有排太多人，就會停下來買一份臭豆
腐、肉圓和米糕到我媽家一起分享的台南小吃。
忠孝路無名臭豆腐已經開50年了，沒有店名，賣的品項也只有3樣，非常簡單。
忠孝路無名臭豆腐主打它的臭豆腐和泡菜都是老闆娘自己醃製，非常搞剛。餐點挺好吃的
，尤其臭豆腐炸的很酥，我媽很愛^^

2大在忠孝路無名臭豆腐消費140元。


忠孝路無名臭豆腐店外觀及價目表

大排長龍中

我買大份的60元，現在臭豆腐真的越來越貴了。
台式泡菜感覺醃的時間還不夠，有菜的生味，我沒有很愛。
臭豆腐會炸好後再切成小小塊的，很酥脆。

以為是炸肉圓，結果是蒸的大肉圓，內餡還不錯。但它的海山醬不像彰化這麼甜，所以我
覺得還行而已。

簡單分享忠孝路無名臭豆腐給大家，這家攤子生意真的很好，好佳在老闆娘動作快，不用
等太久。

"
2,[食記] 曼谷 吃飯吃魚 Kub Kao Kub Pla,7002,"
   餐廳名稱：吃飯吃魚 Kub Kao Kub Pla (Terminal 21 Asok)
   消費時間：2024年/9月
   地址：Terminal 21 Asok Alley, Khlong Toei Nuea, Watthana, Bangkok
   營業時間：1000-2200
   可否刷卡：可

圖文：https://thudadai.pixnet.net/blog/post/71348401


第一天晚上因為很累不想亂跑，就近在舊Terminal 21的分店吃些東西，
菜只有點了四道，但以單份的量一個人還是偏吃力，至少3~4人比較剛好，
雖說是在曼谷各大商場常見據點的連鎖(2009經營至今)，菜品卻有一定質感水準，
放在台灣的泰菜餐廳幾乎可以橫著走了，目測至少半數當地人，聚會或單獨來的都有。

店名叫做吃飯吃魚，可惜實在不願意一個人點整尾魚、太累了，
品項非常之多，選擇困難症發作，大約翻了20分鐘的菜單(附中文)，
好在外場也不會來催，點了冬蔭功(濃湯)、蝦仁柚子沙拉、蟹肉煎蛋、
泰式酸辣海鮮干撈粉絲，這次吃完只想著如果有機會至少三個人來吃，想多點幾道嘗試。

冬蔭功料足、風味扎實帶勁，光這就可以配兩碗飯，柚子沙拉味道平衡非常好吃，
鋪上炸過酥軟的小蝦仁、香氣豐滿，柚肉則多汁酸甜，
調醬不太搶味、明顯帶微辣的紅油感，
這讓我想起上次蘇可泰Khao客座的柚子沙拉，價格大約這裡五倍，
味道則較遜色(但已是當日佳作)，蟹肉蛋捲1,200泰銖為菜單最高價(痣姊的八折)，
上桌時有點後悔~其實蠻大一條、足三人分食，這種蛋捲全熟是自然，
就看最外圈會不會過老過乾，火候覺得還行，中間的蟹肉塊夠飽滿誠意，帶有湯汁，
總之偏直球型料理，我個人吃過就好，
不過最後的干撈粉絲又是一槌子，重口味的人會被打得很舒服。

"
3,[食記] 台南永康 慕沺-輕甜品專賣 新開幕買3送1,7002,"   餐廳名稱：慕沺-輕甜品專賣
   消費時間：2024年/12月
   地址：台南市永康區中華路488號
   電話：06-302-4887
   營業時間：週一~週日11:00~21:00 週六公休
   每人平均價位：35
   可否刷卡：否
   有無包廂：無

網誌版 https://little15.pixnet.net/blog/post/50989976

台南永康美食-慕沺-輕甜品專賣是台南新開幕的甜湯店，它之前的店家是賣田湯，賣田湯
不只永康店沒做，連東區的店也沒有開了，好險有慕沺-輕甜品專賣接手，讓台南人可以
繼續喝到好吃的豆花、圓仔湯、燒仙草等各種甜湯。
1大2小在慕沺-輕甜品專賣專賣消費135元。
(因為有買3送1活動，所以還有外帶1杯給我媽)

目前好康活動：
12/15~12/17有開幕前3天買3送1
12/23~12/31開幕月買5送1
冬季限定的3大甜湯新上市

慕沺-輕甜品專賣店外觀
蠻好找的，外面有開幕用的氣球拱門。

汽車不好找停車位，機車可直接停在大門口。

慕沺-輕甜品專賣用餐環境

慕沺-輕甜品專賣價目表
因為我想要買3送1，所以都挑同價格的。

份量算多，甜度我們都沒有做調整，我喝桂圓紅棗圓仔湯，差不多是8分甜。

圓仔很好吃，還有放一顆大紅棗，我蠻愛吃QQ的，所以有合口味。


布仔吃三色豆花，她說太甜了~但是豆花口感很咕溜，很好吃。

買給我媽的紫米薏仁紅豆，非常真材實料，我媽說甜度剛剛好。

簡單分享台南新店慕沺-輕甜品專賣給大家，環境乾淨衛生，甜湯好喝，有機會去捧場一
下

"
4,[廣宣] 台北 平價份量十足的義式餐-無憂義大利麵,7002,"『資訊揭露：本篇為廠商邀約試吃文』

     圖文網誌:https://carina101.pixnet.net/blog/post/234412179
     店名：Hakuna Pasta 無憂義大利麵
     地址：台北市文山區試院路82-3號
     電話：02 6603 9996
     試吃日期：2024/12

這家位在台北市文山區試院路上的「Hakuna Pasta 無憂義大利麵」，就位在世新大學旁
邊，是家常人潮爆滿的熱門義大利麵餐廳，加上餐點食物90%的原物料多為店家手工製作
，除了平價份量十足外還兼具健康美味，而且店內用餐氛圍輕鬆愉快，除了是義式餐廳還
是是木柵少數親子、寵物友善餐酒館，除了美味的義大利麵、燉飯、炸物甜點外，也有提
供兒童餐，還有精釀啤酒，餐廳名稱「Hakuna Matata」源自於迪士尼動畫《獅子王》中
的一句非洲諺語，意為「沒煩惱」，象徵著希望顧客能在此放鬆身心，享受美食

餐廳環境
Hakuna Pasta 無憂義大利麵位在台北市文山區試院路上，就在世新大學旁邊，店裡舒適
溫馨，因為座位不多，建議最好事先訂位，是常人潮爆滿的熱門義大利麵餐廳
眺高的餐廳空間讓人用餐起來沒有壓迫感，白天是義式餐廳夜晚搭配柔和的燈光搖身一變
為有浪漫氛圍的餐酒館

愛吃醋的鴨$300
開放式的餐廳，不時可以看到老闆會上演像黑白大廚一樣的火焰秀，這裡的菜名也都好可
愛，愛吃醋的鴨是將鴨胸燉煮至軟嫩讓鴨肉的油脂、義大利麵和巴薩米克醋完美融合，略
帶酸感的風味很獨特，家人也覺得很美味，而且這裡義大利麵麵量也很驚人，是男生也能
夠吃飽的份量

小朋友！粉紅豬來囉！$310
外層是用紅醬肉醬起司包覆後做焗烤超厚的豬排義大利麵，雖然名字叫小朋友！粉紅豬來
囉！，份量絕對是一個成人都能夠非常飽足的份量，醬汁是使用我個人很喜歡的粉紅醬，
義大利麵則是採用悶熟煮法，保有麵芯的嚼勁和彈性

今日湯品$60
每天的湯品都不儘相同，今天喝到的是小朋友超愛的，料滿滿的蕃茄蔬菜湯,單點60元，
我覺得升級套餐比較划算
A套餐今日湯品+飲料現折20元/B套餐今日湯品+甜點現折20元/C套餐今日湯品+甜點飲料任
選現折50元

轟炸雞翅$200
除了義大利麵，別忘了來點吃了就無憂的點心，這道轟炸雞翅是店裡的暢銷菜色之一，醃
製過後雞皮外酥雞肉鮮嫩的炸雞翅，香氣十足，讓人忍不住一口接一口，大人小朋友都很
喜歡

炸氣泡胖櫛瓜$160
《炸氣泡胖櫛瓜》佐自製蜂蜜芥末醬，跟絲瓜一樣大小的胖櫛瓜，料理方式是使用一整隻
櫛瓜，裹上氣泡水加上店家自製的炸漿油炸，
讓櫛瓜吃起來外皮酥脆、櫛瓜多汁，十分健康美味又有飽足感


兒童餐$180 需預訂（12歲以下）
身為少數親子友善的義式餐酒館，老闆自已也有兩個可愛的女兒，為了小朋友有專門兒童
餐，採用醬麵分離、讓孩子自已選擇是要醬麵一起吃還是分開吃，配菜沒有無炸物、時蔬
也是清燙保持自然的鮮甜味、讓小朋友吃到低調味最自然健康的食物味道，因為現煮費時
，記得要先預訂避免久候

對貝殼麵感到好奇的我也吃了幾口，麵體很Q彈，再配上店家自製的肉醬，好好吃，而且
還有附湯品跟鮮果汁一杯，小朋友有自已的餐點不用跟爸媽分食就是開心，大人也可以點
自已想吃的食物就好

手工炙燒焦糖布蕾$100
正餐用完別忘了點一個店內不小心常完售的現點現炙燒的手工炙燒焦糖布蕾，表層焦糖香
脆，內裡布丁滑嫩，是一款經典美味的甜點

厚奶蓋綠茶$120/柚子茶氣泡飲$120
奶蓋控必點的厚奶蓋綠茶，上面超厚的奶蓋，不是加奶粉而是用鮮奶加奶油直接打到發泡
，只能當天現喝
清爽的柚子茶氣泡飲，微帶酸甜的清爽口感，大人小朋友都可以喝

精釀啤酒（喝酒不開車，未滿12歲勿飲酒）
店裡還販售許多精釀啤酒，像是木柵女婿就是在木柵這邊才喝的到的在地精釀鐵觀音茶啤
酒，除了麥芽的香甜風味還帶有鐵觀音的茶香味，還有獲得2024年第十二屆台灣自釀啤酒
大賽的啤酒實驗組銅牌獎的新店媳婦，還有連米其林餐廳都有在販售的桂圓琥珀愛爾使用
台灣在地桂圓乾,平衡了原本焦糖麥芽的甜味,增添了獨特的煙燻香氣，來這裡邊忘了來瓶
啤酒享受Chill的夜晚

個人評價
這邊的義大利麵和餐點真的很合我們家的胃口，看似簡單的義式料理經由老闆的精湛的廚
藝和巧思變化出各種不同的口味，堅持手工製做多項原料，讓大人小朋友吃得健康美味，
而且價格還不貴，份量卻很多，像是我點的小朋友！粉紅豬來囉！還吃不完打包，隔天簡
單微波一下還是很好吃耶！是一間適合同學朋友聚會還有家庭用餐很用心的餐廳

"
5,[食記] 台北北投 吳家牛肉麵店 超高人氣牛肉麵店,7002,"   餐廳名稱：吳家牛肉麵店
   消費時間：2024年/11月

11263台北市北投區中央北路一段224號
人均: 200
11am~9pm
https://m.facebook.com/wujia3686/

圖文網誌:
https://ddd.pse.is/6ummpb

每次經過都一堆人，北投很有名的牛肉麵店

雖然是老店，但是乾乾淨淨，到店先找地方坐下，再到攤子去點餐

如果你有點小菜，他會先給你，自己端回桌上。牛肉麵他會送到桌上

只點了湯麵，湯頭真的不錯，重點是麵也太多了，吃得很爽

小菜的部分覺得還好，不用特別點

"
6,[食記] 羅東早餐四家推薦,7002,"


前言：前兩天跟家人去羅東二日遊在夜市附近逛了很多，第二天就是找了網路資訊找了四家不錯的店吃，感覺都滿有收穫的。

第一家：阿珠姨豆漿店
265宜蘭縣羅東鎮興東南路196號
早上5點半到11點半，周四休息

阿珠姨跟叔叔早上6點20來吃，還沒有什麼人的時候，店員7.8人，三個店面，好大，真的生意很好。從開始到離開人潮不斷。

這家燒餅油條油條很脆，不會死油很好吃，燒餅不錯。豆漿很甜好喝。水煎包好像每桌都點算是招牌，吃過覺得不錯，不會像是台北水煎包沒味道，這個很棒。
這家超棒大推。

第二家是附近的正常鮮肉小籠包
地址：265宜蘭縣羅東鎮南門路7號
早上6點10分開到下午1點10分，日一休息。

介紹：這家吃的只賣小籠包一籠一百，超扯，台北通常這種店還有半籠或是加賣蒸餃煎包其他吃的，這家就是這個以及豆漿紅茶。

小籠包屬於湯包系，大口吃起來會爆汁，也不要翻面，他口都在上面。要配合湯匙慢慢吃。肉汁鮮美，肉餡跟湯，皮配得很好，很好吃的店。這家喜歡湯包的推薦一吃。
老闆人很好，環境感覺，好店。
ps，這家沒有醬料碟有點遺憾，他是直接倒在盤子中，盤子後面可能都是湯包肉汁有點討厭。

第三家是民權路無名飯團
265宜蘭縣羅東鎮民權路188號
早上6點10到中午10點40

介紹：前面兩家吃完後往回走，7點多人開始多了，這家需要排隊等待隊伍人不少，當運動。這家招牌好像是粉漿蛋餅，特製飯團以及饅頭加料。中間兩個人專門做飯團，老闆開始加飯後一勺一勺的加菜埔，酸菜，豆乾（台北沒有）後面加蛋，再包起來，最後特殊的加醬油，可選加辣椒。在想羅東人習慣這家去台北應該都覺得台北飯團沒味道吧w。
粉漿蛋餅偏軟，醬料看老闆娘灑得很帥氣，不過味道需要重點。

這家飯團好吃，雖然沒有很大不過料很多，最後醬油也很特殊。之後會再帶朋友來吃，粉漿蛋餅也是不錯很古早味推薦。

最後一家：嘎嘎叫早餐店
265宜蘭縣羅東鎮興東路78號
早上6點到下午3點，每天都開。

介紹：上面吃完又走了10多分鐘找這家，這個之前來過吃了好吃想外帶給家人然後老闆就沒貨了，有兩個客人打電話點了100多份豬排吐司外帶超氣欸。這次吃到超開心。

嘎嘎叫招牌是豬排蛋餅，皮是特製的，吃起來很順口，他刀切過後的每一口蛋餅都是兩片豬排在裡面，而且比外面的豬排要大。一份豬排蛋餅65元真的超值。然後有像是小時候自己家煎豬排一樣有醃製過，味道很夠。這家豬排蛋餅大推。家人都說好吃。
http://i.imgur.com/US2gpUD.jpg



上面四家算是這次好吃的羅東早餐店，下午想到之前吃過好吃來分享下圖片只有一張。幾個月前有吃過羅東南門那邊水煎包，跟碳烤燒餅還好就不推薦了。其他羅東好像很多早餐，米苔目，更多飯團，西式漢堡。下次吃到再來分享，感謝大家。

"
7,[廣宣] 台中西屯 築間酸菜魚 個人小火鍋+自助吧,7002,"『資訊揭露：本篇為廠商邀約試吃文』

     店名：築間酸菜魚｜台中文心店

     地址：台中市西屯區文心路二段568號
     電話：(04)2328-3456
     試吃日期：2024/12/3


部落格圖文版：https://fooddailytw.com/food-notes/jhu_jian_suan_cai_yu/


PTT文字版：


築間酸菜魚小火鍋新形態登場！築間酸菜魚一改大部分酸菜魚都是一整大「碗」端上桌的
型態，這次以小火鍋的方式重新與粉絲見面，不僅有方便一個人吃的酸菜魚小火鍋，還有
自助吧任食，想吃什麼夾什麼，不用擔心碗裡有不愛吃的，整鍋溫暖你的心！


我們這次來到的是築間酸菜魚位於文心路上的文心分店，雖然餐點形式改為小火鍋，但築
間酸菜於整體的漫畫感以及桃紅色+螢光綠的視覺形象沒有改變，非常好認～


築間酸菜魚文心店的座位數蠻多的，座位與座位間不會擁擠，不過我覺得桌子稍微小了點
，改成小火鍋形式後因為會有小卡式爐上桌，4人座其實比較適合2人座，3人以上如果又
有加點會有點放不下XD


接著我們先看到的是這次築間酸菜魚的重點－－自助吧任食！除了有豐富的飲料選擇之外
，食材與各種火鍋料也非常多，不怕吃不飽，也不怕挑食鬼沒東西吃～


吃小火鍋絕對不能沒有飯後冰淇淋吧？所以築間酸菜魚當然也有囉～文心店的話是在火鍋
料食材旁邊，不要錯過啦！





築間酸菜魚｜菜單


築間酸菜魚現在轉型成小火鍋+自助吧放題的型態後，菜單也改為先選湯底、再選主餐的
搭配方式，讓每個人都能吃到自己最喜歡的組合，其他食材可以自由挑選的方式更不怕浪
費，超級適合我這個挑食鬼！





築間酸菜魚｜秘製總長酸菜魚湯+招牌烏鯉魚 NT80+NT480


首先當然是築間酸菜魚招牌品項啦！而且都點酸菜魚湯了，選的主餐當然就是烏鯉魚XD！
烏鯉魚本人軟Q滑嫩，我真的超級愛！酸菜魚湯依然非常夠酸，身為嗜酸人真的很愛～不
過我覺得轉型後的辣度比之前再辣一些，而且小火鍋會因為開火煮而越煮越濃，尤其怕辣
的人這鍋可能要斟酌～

不過點餐時可以提前告知店員辣度，如果真的太辣，也可以再加湯唷！





築間酸菜魚｜炸裂酥魚皮 NT89


另外推薦炸裂酥魚皮，加入湯裡不要煮太久，趁還有酥脆口感時就撈起最好吃！





築間酸菜魚｜麻油燒酒雞+招牌烏鯉魚x鮮嫩雞腿 NT80+NT420


冬天最愛燒酒雞啦！一上桌就是撲鼻的燒酒香，超適合冷冷的晚上來一鍋！而且，這次朋
友選了這個搭配才意外發現，烏鯉魚和燒酒雞竟然能夠這麼搭！推薦大家寒流來築間酸菜
魚的時候點上一鍋！





築間酸菜魚｜海派蝦湯+雪花牛 NT80+NT440


海派蝦湯真的超級「蝦」！上桌的時後就是暴力撲鼻的蝦氣，喝了湯更蝦！非常適合蝦蝦
控點這個！不過我們覺得選雪花牛有點不搭，建議在築間酸菜魚點蝦湯還是乖乖選魚XD





築間酸菜魚｜蟹膏鮭魚卵拌飯 NT119（部分門市限定）


米飯上鋪滿了蟹膏和鮭魚卵超級有誠意！整體鮮味十足，推薦熱愛蟹膏與鮭魚卵的朋朋點
這碗，真的誠意滿滿，但如果是會怕鮮味的人就別點囉！





築間酸菜魚｜椒鹽雞軟骨 NT68


炸得香脆的雞軟骨是同居人的最愛，份量不少，但每次點都被他快速掃空XD





築間酸菜魚｜高雄甜不辣 NT68


上一次到築間酸菜魚就很愛的甜不辣，這次當然也點了一份！口感與味道是走厚實鮮甜的
路線，這個我真的很喜歡～




以上就是這次築間酸菜魚改成小火鍋+自助吧任食的到訪心得，整體來說我還是最喜歡酸
菜魚這鍋，不過麻油燒酒雞+烏鯉魚真的讓我們蠻驚豔的，推薦大家來築間酸菜魚可以這
樣點點看；另外，自助吧任食真的非常適合挑食症末期的人，擔心小火鍋裡的配料常常都
是不喜歡的食材，但又想吃酸菜魚嗎？那就來築間酸菜魚吃吃看吧！

"
8,[食記] 基隆 官邸作客 昭和時代浪漫氣息咖啡店,7002,"餐廳名稱：官邸作客
消費時間：2024年/10月
電話：02-2463 5158
地址：基隆市中正區中正路230號
營業時間：11:00~19:00 周一、二休

blog圖文版：https://morrisyu.com/commander-cafe/

興建於日治1931年的基隆要塞司令官邸，在當時是軍事要塞建築群之一，也是目前基隆市
內少數僅存的日式建築，在2018年時基隆市文化局執行 大基隆歷史場景再現整合計畫，
啟動修復工程，在2021年完工落成，爾後誠品書店曾進駐，化身為時光繪本書屋，可惜當
進駐時間不長。

對於基隆要塞司令官邸並不陌生，過去誠品進駐時也曾來參訪過，對於整個空間能夠完整
修復就感到很高興，修復到不會讓人覺得這是一棟新的一樣，依然保有時代的韻味。

這棟建築在日治時期是高級住宅，視野相當棒，有庭院也有碎花磚舖設的魚池，詳細的建
築介紹，可見此篇文章。

內用的空間規畫成不同的小包廂，座椅以沙發座為主，坐起來蠻舒服。

真的很喜歡這棟建築物，如果能找個晴天造訪，陽光投射到室內時，相信光影會更漂亮。

官邸內有一個小房間，擺放了大沙灣地區的老建築介紹。

Menu，飲品有 咖啡、茶飲、啤酒等，吃的有磅蛋糕、巴斯克、炸物、關東煮、咖哩飯等
，價位上是比較高的，內用低消每位140元，客滿時用餐時間限90分鐘。稍微碎嘴一下，
這麼有質感的店，Menu就這樣用A4紙護貝，實在是很可惜。

衣索匹亞 西達摩，這杯手沖比我預期的好，滿滿的花香味，果酸甜感度表現也很棒。

炸物，新台揚、野菜豆腐、香菜嫩骨揚，炸物都是現點現炸，不油膩，最喜歡香菜嫩骨揚
，Q彈還帶有淡淡的香菜味。

關東煮，鱈寶、玉米筍、阿給，最特別的是白色的鱈寶，日式鱈魚製品，口感軟綿好吃。

燉牛肉咖哩飯，牛肉給的份量很多，煮得入味軟嫩好吃，咖哩是稍微帶有甜味的，白飯也
煮的好吃。

而在基隆要塞司令官邸對面的要塞司令部校官眷舍，目前依然是閒置中，如果這裡也能好
好活動，將是很棒的活動區域。



"
9,[食記] 台北 喜來登比薩屋 客座~同場加映4家披薩,7002,"
   餐廳名稱：喜來登比薩屋 Pizza Pub
   消費時間：2024年/12月
   地址：台北市中正區忠孝東路一段12號B1
   營業時間：1130-1400 1800-2130

圖文：https://thudadai.pixnet.net/blog/post/71392156


[照片記錄]
聽朋友說比薩屋辦的Mr. Peppe客座pizza還不錯(技轉)，
Mr. Peppe近期上榜世界最佳50披薩第15名，
趁活動到1/1前過來嚐鮮，順應友人號召，
曾組成""疑似有固定班底""之pizza小隊(隨時會解散那種)，
揪了幾家檯面上下有名聲的，包括旋轉披薩、CURA、pizzaround、老烤箱..等，
由於我口拙且不喜做排名，當感覺Level沒有差距很大時就這樣吧，真要說~~
偏愛CURA的餅皮、咬起來那外層的脆口與香氣特別有立體感，
朋友中喜歡旋轉的人多一點。


(柑橘甜蝦薄片，日本甜蝦、柑橘、Burrata、開心果、百香芒果醬，吃完沒什麼印象，只
記得價格太高)

(第一片~獻給台灣，溫度明顯不夠，反應後帳單有槓掉，是個略甜的口味，用了兩種果醬
、干貝和mozzarella)

(Peppe流的餅皮含水率較高，雖偏蓬鬆但沒有到如pizzaround那種橡皮艇的蓬鬆度，麵糰
香氣還不錯，而最外圈則沒這麼脆)

(招牌太陽比薩，太陽狀的邊角包Ricotta和Salami，這片好吃多了，溫度也正常)

(卡拉布里亞之旅，紅通通的，介紹是說用當地辣椒Peperoncino，這種微辣風味也不錯)

(特雷維索，藍紋口味，中間那個史萊姆是用紫萵苣做成，這片非我的審美感)

(焗烤千層茄子，番茄醬、mozzarella、羅勒香料，還ok~沒什麼出奇的地方)
(炭烤噶瑪蘭黑豬里肌，中規中矩)
(爐烤帶骨牛小排，特地詢問外場有沒有原菜單推薦的東西，有舒肥過但最後呈現的口感
香氣ok，算是被披薩耽誤?)


(同場加映: Gira Pizza旋轉披薩，整體都不錯~我偏愛青醬，而印象最深卻是榛果巧克力
甜披薩，夠甜~和餅皮的香氣搭配真好吃，麵類就...這裡畢竟是披薩店)

(同場加映: CURA Pizza，缺點是店面的位置太偏遠，否則這家的餅皮很對我胃，連開頭
贈的現烤麵包片都好吃，不過甜披薩個人覺得輸給旋轉)

(同場加映: pizzaround比薩斜躺，做的是台灣少見的橡皮艇披薩，外圈看起來厚重，實
則蓬鬆軟Ｑ，也覺得這家不錯~屬於可再訪的店~)

(同場加映: 老烤箱，這餐兩人口味只點了松露小姐，喜歡加辣油，試了少許pizza外的餐
，結果發現那顆檸檬甜點比較好吃..總之pizza還行)

"
