,標題,分類,內文
0,[問卦] 還好是冬天不然就被抓了,39330,"今天逛街逛好久就去廁所尿尿,發現怎麼拉鍊沒拉都沒人
跟我講,研判是被外套遮住沒被看見,因此還好是冬天
不然就被妨害風化抓了吧?

※ 八卦板務請到 GossipPicket 檢舉板實名詢問
※ a.張貼問卦請注意，充實文章內容、是否有專板，本板並非萬能問板。
※ b.一天只能張貼 ""三則"" 問卦，自刪及被刪也算三篇之內，
※   超貼者將被水桶，請注意!
※ c.本看板嚴格禁止政治問卦，發文問卦前請先仔細閱讀相關板規。
※ d.未滿30繁體中文字水桶1個月
※   未滿20繁體中文字水桶2個月
※   未滿10繁體中文字水桶3個月，嚴重者以鬧板論，請注意！
※ (↑看完提醒請刪除ctrl + y)

"
1,[問卦] 由奢入儉的八卦,39330,"那個我朋友平常媽寶
要多少爸媽都給
現在弟弟妹妹出生了
就那邊叫叫叫
是太貪心還是沒有同理心

"
2,[問卦] 要怎樣知道對方有在八大工作呢,39330,"
各位鄉民傍晚好


要怎樣知道對方有在八大電視工作呢？是看他的識別證，還是老駂投保紀錄，或是在職證明啊，有鄉民可以提供方法嗎？

"
3,[問卦] 跟朋友約人群中見面哪種JOJO立比較顯眼,39330,"我ㄈㄓ啦

朋友一趟路來台北想說帶他去看新北耶誕城

但人好多怕找不到對方

來不及換上特殊造型服飾...眼下只能用特殊姿勢比較顯眼？

請問有推薦的那種JOJO立比較快認出對方？卦？
https://i.imgur.com/naCq4KN.jpeg
https://i.imgur.com/WIvGlbJ.jpeg
https://i.imgur.com/FYKV7kB.jpeg
https://i.imgur.com/E6ac7hu.jpeg

"
4,Re: [問卦] 脆：法案通過不重要  不要公佈就好了,39330,"
   其實有漏洞

   行政院長副署這個漏洞

   如果行政院長不副署

   總統公布一個行政院長沒副署的法律

   那個法律還有效嗎???

   這應該是脆講的, 不公布的意思

    我們中國立法技術是有甚麼問題嗎?

    怎麼沒把行政院長副署變成義務(沒有不副署的權利)

    有沒有八卦??

"
5,[新聞] 陳子豪確定出走！峮峮「炸裂」成絕響 不,39330,"陳子豪確定出走！峮峮「炸裂」成絕響 不捨回應了

自由時報

https://ent.ltn.com.tw/news/breakingnews/4899210

羅子秦／核稿編輯

〔娛樂頻道／綜合報導〕中華職棒中信兄弟的人氣球員陳子豪今（20）日確定轉戰味全龍，
簽下10年總值破億的超級合約，不過這也代表啦啦隊女神峮峮的經典應援「炸裂陳子豪」已
成絕響，引發不少球迷哀號。為此，峮峮也首度含淚發聲了。

中職今（20）日證實，中信兄弟外野手陳子豪簽約味全龍，據傳味全龍以10年總值1億元的
超級合約挖角陳子豪，讓他成為兄弟隊史首位行使國內FA且出走的球員。消息曝光後，讓過
去以「炸裂」走紅的應援曲成絕響，而啦啦隊峮峮招牌動作亦將絕版，不少球迷不勝唏噓。

有網友在IG限動發出峮峮在舞台上大跳炸裂舞的畫面，難過表示：「明年就換去別隊炸裂了
，感謝永遠的1號重砲隊友」、「以後不能靠放炸裂讓山君起來跳了」，而峮峮本人也親自
轉發兩則限動寫下：「只能祝福了。」並在文末附上淚眼汪汪、手比愛心、揮手等表情符號
，足見內心的不捨及感慨。

"
6,[問卦] 地方政府靠炒房賺錢嗎,39330,"中央如果不給地方政府預算

地方政府需要建設錢從哪來

靠土地重劃賺錢嗎

所以新法案可以讓地方政府不用靠炒房賺錢嗎

有無八卦？

"
7,Re: [問卦] 認真問 什麼人看到地方財源增加會跳腳？,39330,"對!

我們要注意縣長很容易浪費錢!

因為無人監督!


例如苗栗與花蓮!

就是很荒唐!


苗栗差點破產!



地方縣市長會蓋很多蚊子館 就是荒唐!


而總統很節儉

就是因為立委會監督!

不會亂花錢蓋蚊子館


行政院的會計師都很專業

不會貪腐!!!


所以高下立判!


而且地方縣市長常常與奸商有不可告人的關係


例如柯文哲號稱最清廉

難免也圖利富商

很扯!!!


蔡英文與賴清德梅沒圖利過奸商

高下立判!!!


※ 引述《qwerapple (nomaman)》之銘言：
: 如題，就是阿
: 肥宅我看到地方政府的分配金額都變多
: 這應該是好事吧
: 理論上經費變多 能做更多事情
: 阿什麼人看到這種事情會不開心？
: 有卦？
:

"
8,[問卦] 為什麼不離職就好？要這樣自S?,39330,"從勞動部的這個北分署職場霸凌，
到這個私人企業的台呆電子，
這些職員其實學經歷都非常的好，
也就是少子化的現在找工作非常容易，
那麼他們到底為什麼要去自S呢？
這麼好的學歷怎麼就不能離職再找工作呢？
有需要這麼激烈的嗎？


"
9,[問卦] 有多少人在關注日本佳佳,39330,"
日本佳佳這個剛崛起的YT網紅
這邊有很多人在關注嗎？
https://m.youtube.com/watch?v=a7gsmULvAvc&pp=ygUM5pel5pys5L2z5L2z
感覺身材很好 很愛台灣
不知道是哪國人這麼愛台灣
最近很火很多人關注
有沒有卦

"
10,[問卦] 太誇張 一年要花那麼多錢的島我們不要了,39330,"
我剛剛才知道
這座島一年要花6億
現在我大苗博雅說現在增加是在圖利
反正上面的居民都是藍色
不如直接送給對面
大家說好不好
"
11,[爆卦] 台大醫學生闖實驗室偷看考卷！,39330,"
D卡熱議中 據說台大醫的同學
趁假日闖實驗室偷看期末考卷
（組織學跑台的期末考）
https://i.imgur.com/ZgQedaS.jpeg
https://i.imgur.com/P61Y8M4.jpeg
https://i.imgur.com/e2sZUgZ.jpeg

但被發現了
導致後續考卷出 超 級 難
大家都在抱怨


有同學將事件做成影片
沒想到台大醫連做影片也很厲害
https://i.imgur.com/wttBnXj.jpeg
https://i.imgur.com/U7zT1wc.jpeg
https://i.imgur.com/P3RVSHB.jpeg

事件影片原文：
https://www.dcard.tw/f/ntu/p/257555854?cid=12724015-8751-47CA-9BE4-F0C08D84DDB5

"
12,[問卦] 台女澳洲打工靠結婚拿簽證,39330,"剛看到這則新聞：
網友指出，多數前往澳洲打工的年輕人回台灣後，就是想盡辦法再獲取簽證重返澳洲，
女生大多會想靠結婚拿簽證，
而男生則是就能混多久算多久。結局就是混到底後回台灣後，攤開求職履歷就是一堆空白。

我的問題是
那些女生的在澳洲處境，
是不是跟在台灣打工的越南女移工/越南女學生，
差不多阿？

他們都嫁蟀哥嗎？
還是為了澳洲簽證，找個又老又窮又禿的，願意娶的，就隨便嫁了？
有八卦嗎？

"
