,標題,分類,內文
0,[情報] 1220 上市櫃外資投信買超金額排行,8145,"
外資

排行    股票名稱    收盤價   漲跌  買超(百萬)

1       1402遠東新   32.05   -1.15   1,672
2       2383台光電   596     -21     1,336
3       1590亞德客KY 788     -40     1,317
4       3019亞光     163.5   -1      1,182
5       3661世芯KY   3235    -110      868
6       1605華新     24.4    -0.65     673
7       2915潤泰全   71.5    +0.4      635
8       1102亞泥     41.45   -0.1      568
9       2886兆豐金   38.6    -0.05     557
10      3376新日興   211     +2.5      533

資料來源： https://tinyurl.com/mpn8ssx5

投信

排行    股票名稱    收盤價   漲跌  買超(百萬)

1       2609陽明     79.7    +1.5    5,003
2       2603長榮     230.5   +1      2,041
3       5876上海商銀 40.15   +0.5    1,617
4       2618長榮航   44.6    +0.05   1,572
5       1504東元     50.8    +1      1,098
6       6669緯穎     2640    -30       862
7       2880華南金   25.55   -0.15     798
8       8299群聯     464     -4        735
9       6285啟碁     137.5   +10.5     677
10      4763材料-KY  889     -21       658

資料來源：https://tinyurl.com/bdhr5t2k

以上 謝謝

"
1,[情報] 1220 上市櫃股票週轉率排行,8145,"
上市

排行     股票名稱       收盤價  漲跌    漲跌幅  成交量  周轉率

1        4977眾達-KY    138.50  -10.50  -7.05%  44,195  55.11%
2        2374佳能       64.90   +3.30   +5.36%  155,796 53.84%
3        2332友訊       25.20   +2.25   +9.80%  159,793 26.52%
4        4571鈞興-KY    252.00  +6.50   +2.65%  12,518  23.61%
5        3019亞光       163.50  -1.00   -0.61%  65,757  23.55%
6        2359所羅門     162.00  -2.50   -1.52%  37,457  21.84%
7        6215和椿       83.70   +7.60   +9.99%  17,804  21.51%
8        8374羅昇       145.00  -3.00   -2.03%  19,022  21.31%
9        3450聯鈞       255.50  -1.50   -0.58%  27,077  18.59%
10       6558興能高     36.80   -1.30   -3.41%  16,037  18.55%

資料來源：http://tinyurl.com/yweranfz

上櫃

排行     股票名稱       收盤價  漲跌    漲跌幅  成交量  周轉率

1        4931新盛力     63.70   -1.60   -2.45%  50,481  76.79%
2        8111立碁       53.00   +0.80   +1.53%  80,911  74.16%
3        4510高鋒       48.25   -0.15   -0.31%  78,476  72.66%
4        4991環宇-KY    122.50  +6.00   +5.15%  46,392  41.43%
5        8071能率網通   22.00   +0.25   +1.15%  20,825  40.16%
6        4561健椿       78.30   +6.50   +9.05%  13,670  23.36%
7        3597映興       43.30   +0.20   +0.46%  9,157   23.34%
8        3323加百裕     35.10   -0.40   -1.13%  16,231  18.38%
9        4979華星光     171.50  -3.50   -2.00%  20,374  14.47%
10       3211順達       190.50  +5.00   +2.70%  21,823  14.32%

資料來源：http://tinyurl.com/mahe699z

何謂股票週轉率?

來源：http://tinyurl.com/5n6m3kpv

原來的外資投信同買排行連結

來源： https://tinyurl.com/2wxfc657

以上 謝謝

"
2,[標的] LMT.US,8145,"

標的：
T.US

分類：多/空/討論/心得
討論

分析/正文：
Q3業績不如預期
積壓訂單做不完 股價暴跌將近百點
中間小反彈一下
之後馬斯克發文表示
以後不需要有人駕駛的飛機 一路緩跌至今
洛馬好歹是戰機的第一交椅
雖然川普揚言結束烏俄戰爭
不過新冷戰局勢已經形成
各國都在加強軍備
多少是抄底的機會
大家怎麼看




"
3,[新聞] 華碩已布局人型機器人 施崇棠：這是全方,8145,"原文標題：華碩已布局人型機器人 施崇棠：這是全方位AI戰略關鍵

原文連結：https://news.cnyes.com/news/id/5815630

發布時間：2024/12/20

記者署名：吳承諦

原文內容：

PC 品牌華碩 (2357-TW) 今 (20) 日舉辦尾牙，華碩董事長施崇棠指出，今年交出歷史第
二佳的業績，證實公司已在內部啟動人型機器人相關計畫，並強調這將是華碩 AI 發展戰
略的重要一環，他指出，人型機器人不僅是技術演進的下一步，更是 AI 發展突破的關鍵
。

施崇棠表示，AI 若要實現真正突破，需要透過實體（body）來建立世界模型，這使得機
器人發展成為必然趨勢，特斯拉執行長馬斯克（近期對人型機器人的關注，已成為產業發
展的重要方向，過去華碩也有研發機器人的經驗，在通用智慧模型的出現下，內部也已開
始有計畫，正如火如荼進行中。

在整體 AI 布局方面，施崇棠指出，華碩採取全方位發展策略，從超級伺服器、邊緣伺服
器到私有伺服器，再到 AI PC 等各層級產品線都將全面發展，其中在 Copilot PC 品線
已成為市場領導廠商。

針對 AI PC 發展，施崇棠表示，目前市場上已有多款處理器可選擇，包括採用 Qualcomm
、AMD 等晶片的產品，部分處理器已具備約 140 億參數的運算能力，效能已接近
OpenAI 水準，他認為 AI 發展已從單純追求運算規模的大語言模型，轉向更多元的小型
模式，並且將以不同應用落地生根。

施崇棠強調，純粹依賴軟體或硬體的進入門檻已經太低，未來必須整合兩者才能創造更高
價值，他以 OpenAI 等 AI 公司為例，說明目前市場各家業者都在尋求軟硬整合的發展策
略。

在產品開發思維方面，施崇棠表示華碩設計理念，強調產品設計必須從使用者體驗出發，
才能確保市場競爭力。


心得/評論：

華碩成功轉型 股價創新高

現在華碩不只是板卡廠 華碩也要做AI 做人型機器人

"
4,Re: [標的] 台指期反彈多,8145,"※ 引述《pianoluke (溫柔倔強勇敢都是我)》之銘言：
: ※ 引述《ie975249 (遇見未知的自己)》之銘言：
: : 標的：台指期
: : 分類：多
: : 分析/正文：
: : 台股大跌你很難過我也很難過
: : 但是台股真的這麼爛嗎？
: : 我相信我們都不這麼認為
: : 當金管會說台股基本面良好時
: : 你相信嗎？大家都是笑而不語
: : 大家都相信但是不做反應
: : 我就問大家都是看線操作
: : 大家都看技術指標指標
: : 加權跌到年線
: : 這時候不守是要等什麼時候再守？
: : 你打算等 12682 再進場
: : 還是等到 COVID-19 的 8523 再進場
: : 年線我真的覺得差不多了
: : 基於上次空小台積電被噓
: : 那我這次大買 75 口 22800C
: : 以示我空台積電不是看壞台股
: : 只是覺得台積電該休息了
: : 其他股票該動了
: : 以下是人權圖
: : 成本太爛我就碼掉了
: : https://i.imgur.com/BSO81IL.jpeg
: : https://i.imgur.com/a6JmRPR.jpeg
: : 台積電四口還在不過可能會 1010 就全出，不會等到九百多
: : https://i.imgur.com/ispCzra.jpeg
: : 進退場機制：
: : 停損：22800C 跌破 100
: : 停利：禮拜五前台指期有過 22700-22750 逐步停利
: 好奇問
: 年線在21000左右
: 你現在守的是什麼線？
: 而且線跌破就是先賣
: 這個操作超級雷
: 要也是買台指期
: 可能反彈的點在22300啦
: 不然光震盪選擇權就沒價了
: 好吧   看來你應該也停損了
: 如果有紀律的話
: 幫QQ
: "
5,Re: [新聞] 88萬股東噩夢！台塑四寶跌入冰河期 分析,8145,"原文恕刪

近期由於覺得因為記者在找流量所以被新聞放大，好奇去挖了一下發債記錄

四寶整個集團最後的高光時刻大概是從2018由台化及台塑化見高開始

一直到台塑及南亞分別於2021及2022的高點結束

隨後一路撐過老謝及眾人看衰必落底的flag一路A到現在

因此就從2018(107年)的公開資訊開始看

發債流程看起來會需要公告一次，隨後第二次再補充細節

應該是有相關行政程序要跑，所以公告要發債不等於真的會發

比較像是

：公司好像要用錢ㄟ，先公告起來不然臨時要用錢時怕從頭跑流程時間上會軋不過來

=====
以下部分資料可能因資料查詢時間有所不同，僅供參考
部分內容若因語文理解錯誤致使有誤導之情事也歡迎提出指正
=====
1301

公告發債        補充日期        金額    方案
107/03/22       107/06/14        93.0億 分為5/7/10年期
108/03/25       此次未發
109/03/17       109/06/12        83.5億 分為5/7/10年期
109/12/17       110/09/06        75.0億 分為5/7   年期
111/11/10       112/06/14       111.0億 分為5/7   年期
112/12/14       113/05/03        84.0億 分為5/ /10年期
                113/11/29        62.0億 分為5/ /10年期
113/12/19       尚未公布

1303

公告發債        補充日期        金額    方案
107/03/23       107/08/28       105.0億 分為5/7/10年期
108/03/20       108/06/05        63.0億 分為5/7/10年期
                108/10/04        51.0億 分為5/7/10年期
109/03/18       109/09/15       100.0億 分為5/7/10年期
109/12/16       110/05/25       115.0億 分為5/7   年期
111/11/09       112/09/25       130.0億 分為5/ /10年期
112/12/13       此次未發
113/12/17       尚未公布

1326

公告發債        補充日期        金額    方案
107/03/16       此次未發
108/03/15       108/05/03        70.0億 分為5/7/10年期
109/03/13       109/08/25       100.0億 分為5/7/10年期
109/12/11       110/04/28       100.0億 分為5/7   年期
111/11/04       此次未發
112/12/08       此次未發
113/12/13       尚未公布

6505

公告發債        補充日期        金額    方案
107/03/15       此次未發
108/03/11       108/07/15       111.0億 分為5/7/10年期
109/03/09       109/07/28       145.0億 分為5/7/10年期
109/12/10       此次未發
113/12/12       尚未公布

=====

以上資料來源為公開資訊觀測站
https://mops.twse.com.tw/mops/web/t05st01

從上面資料來看台塑化果然是被豢養(欸)的那個，看起來不太缺錢

最慘的呆化發的也沒想像中多

=====

既然提到呆化，可以順便看一下現在最新的市值排名狀況跟今天調整完的狀況

做成圖表大概長這樣，1590大概是還來不及踢乾淨
https://i.imgur.com/hfJpUob.png

資料來源：
https://stock.capital.com.tw/z/zm/zmd/zmdb.djhtm
https://www.yuantaetfs.com/product/detail/0050/ratio
=====

另外看個0050的公開說明書，資料來源元大官網(縮網址)：https://reurl.cc/5Dvra7
https://i.imgur.com/2ALUrYK.jpeg

調整當月第一個週五公告，且在調整當月的第三個週五下一交易日生效

參考資料則是生效日四週前的週一

也就是這次十二月的調整參考的會是11/25的資料(如果理解有誤還請告知XD)

就是下次三月公告日是114/03/07，生效日是114/03/24，審核資料則看114/02/24

如果以掉出60名就踢掉的條件來看...呆化你還有兩個月時間可以爬回來喔揪咪^_<

明年三月究竟會不會看到老班底四寶之一被0050剔除呢？讓我們拭目以待

=====

"
6,Re: [心得] 郭哲榮是不是都在騙會員有賺錢呀？,8145,"我想幫哲哲稍微證明一下，當初是去年加入他的生日專案，在這專案其間根據call訊操作
如下，但是由於上班中，不是準時看到call訊買賣，所以偶爾會以附近的價格買進賣出。
塗掉的call訊是我沒買的股票，所以不公開。另外沒有世界買進的訊息，是因為加入時由
助理告知。
基本上，個人覺得績效不算好（世界快半年才有近50％），雖然最後勉強有達到一年“賺
了一個股本”。

https://meee.com.tw/T6MyMFG

－－回覆－－
上ptt都在讀，久沒用，不太會用了，一些回覆用推文。
智原那些沒買到，主要是因為生日專案是一般會員，股價過高（標準我不知道）的一般會
員不會收到訊息。另外他喊買入的時間點，我手上剛好沒錢。舉例來說，只要去翻影片，
去年他喊緯創時，我手上沒錢，所以就沒買。



"
7,Re: [標的] 味全還能持有嗎,8145,"味全的本業又不是味全

是康師傅好嗎

康師傅市值大約2500億台幣

加上味全大約值三千億左右

康師傅很賺錢的 2023年營收803億港幣

稅後盈利31.7億港幣

然後魏家把所有盈利全部返還股東

另外七年前魏家賣101就淨賺了160億

先不說酒窩跟炸裂都是複數年合約

就說12強後的商機 是明擺著的

就算大撒幣 估計明年還有機會小賺

而且味全補的很好

味全是今年中職團隊防禦率最低的

但是打線只有一隻撈哥夠威

現在補了兩個大砲 直接衝擊總冠軍了

而且明年結束若熙可能就要出國了

明年不拼要待何時

只要兩隻FA正常發揮 我覺得是爪連霸最大的威脅

話說邦邦比龍龍有錢多了 邦邦今年可能賺超過1500億 就算兩個球團各虧一億也是灑灑水
啦

更別說悍將搞不好沒什麼虧

但怎麼一隻FA都沒有搶到呢

話說這不是股市板嗎？

"
8,[公告] 1221 水桶,8145,"主旨：多人水桶公告

說明：經板主群合議認定及主動巡查，以下使用者違反板規

1.
違規人  ：YU1225
違規文章：#1dLwhUEI (Stock)
檢舉文章：#1dLxkej5 (StockPicket)
違規條目：4-2-1
罰則　　：水桶一年
違規事證：

 作者  YU1225 (凱基期貨小iu人美心也美)                            看板  Stock
 標題  [標的] 00919 群益台灣精選高息 是否納入陽明？
 時間  Tue Dec 10 10:43:40 2024
───────────────────────────────────────


標的：群益台灣精選高息00919
(例 2330.TW 台積電)

分類：討論/
(請選擇並刪除無關分類)

分析/正文：這檔高股息未來

會不會納入陽明海運2609讓陽明變成他第二大持股！？


00919都滿手長榮了 ..


陽明是否會被列進去呢？

會的話就好玩了 變成船的形狀！


進退場機制：討論
(非長期投資者，必須有停損機制。討論、心得類免填)


"
9,Re: [心得] 我參加摩爾投顧的經驗,8145,"※ 引述《sharon1006 (sharon1006)》之銘言：
: 11月22日我參加鍾昆禎分析師的極短線投資班，價格九萬
: 他的助理叫做林征鷹，
: 雖然錢已經付了，但是契約要寄回去摩爾投顧，https://imgur.com/a/pj6aQri
: 11月25日早上9點打電話給助理林征鷹，問他契約有沒有收到，他說沒有
: 同日11點又打第二通給助理林，態度非常差，就是故意不回答有沒有收到我的契約，
: 一直跳針說我的事情是另外一位助理在處理的，所以要找另外一位助理去問，
: 叫我不要再打給他了，語氣之不耐煩，好像我欠他錢一樣！
: ps:
: 退了哲哲會員後，我還有另外參加一位摩爾分析師(不是哲哲）的特別會員，
: 因為會期快到了，
: 才去參加鐘開的超短線投資班，鍾在節目講有兩百多人要參加
: 只不過這次我參加的是最便宜的 簡訊會員9萬
: 鍾還有比較高階的             特別會員  38萬
: 親帶會員 總資金的  10％
: 我並不想要退款，只是希望那位林助理道歉，但鍾說助理不會道歉，要直接退我會員
: 有不少板友私訊我績效，老實說我大概有1000多萬被套牢了
: 被套的股票
: https://imgur.com/a/wHYuHnx


注意了股票名單一陣子

雖然沒有跟單

到現在其中幾檔已經賺錢了

有的也離解套不遠

https://i.imgur.com/Fy7Eerw.jpeg

如這隻

https://i.imgur.com/fwyRUNJ.jpeg

還有這隻都賺錢了


覺得其實不錯啊！

小資金團結成大資金

加上有人領頭還是有賺頭的


雖然股票是要學習的，一直跟著老師不是長久之計
: 為什麼要退哲哲的會員，然後又加入其他分析師，因為哲哲的助理幫我設定的是
: 100萬親帶會員，但我一直不想要，我一開始只想參加便宜一點的
: 助理把我的信用卡刷親帶會員的價格50萬。說下個月再刷50萬，
: 並且叫我把契約寄回去摩爾才會生效，我不同意把契約寄回去，說要解約
: （這時候我已經被刷50萬）

"
