,標題,分類,內文
0,[新聞] 谷歌揭數據分析師年薪破10萬美元,4004,"https://www.chinatimes.com/newspapers/20241220000296-260203?chdtv

谷歌揭數據分析師年薪破10萬美元

04:10 2024/12/20 工商時報 吳慧珍 、綜合外電

想找可遠距上班且年薪達六位數美元的工作，谷歌主管建議不妨考慮數據分析師。企業日
益仰賴數據做決策，數據分析相關職務急速成長，各行各業都有需求，年薪甚至破10萬美
元（約台幣330萬），且不要求大學學歷。

谷歌副總裁、線上培訓計畫Grow With Google發起人格維爾伯（Lisa Gevelber）指出，
數據分析這個領域成長快速，薪資具競爭性，就業有保障且工作有彈性。

數據分析師負責蒐集、整理、解讀原始數據，以深入了解企業如何運作。他們運用Excel
、SQL、Tableau等工具掌握趨勢，製作視覺化圖表，研究銷售、網站流量、監管風險等指
標，協助組織聰明運作。

無論是優化工作流程或預測顧客行為，企業愈來愈依賴數據來做決策，對數據分析師的需
求日增。自由業平台Upwork今年6月報告指出，數據分析是2024年最搶手的技能之一。

美國勞工統計局預測，未來10年，數據分析及數據科學相關職務數量至少成長3成，增幅
比其他職業平均水準高出3倍以上。

Google上「數據分析技能」（data analytics skills）和「數據分析工作」（data
analytics jobs）關鍵字的搜尋量，在2024年觸及5年新高。格維爾伯也提到，美國目前
數據分析的職缺數將近30萬。

根據勞動市場數據業者Lightcast近期研究，對數據分析師的需求遍及各行各業，又以製
造、醫療保健、科技和金融業需求最旺。其他熱門的數據分析職務，包括商業系統分析師
、數據架構師及資料庫管理員。

#成長 #工作 #企業 #維爾 #職務

"
1,[新聞] 華碩尾牙今登場！董事長施崇棠：今年業,4004,"華碩尾牙今登場！董事長施崇棠：今年業績為史上第二佳

電腦品牌大廠華碩（2357）今日（20）在台北南港展覽館舉行歲末聯歡晚會，以「華碩眾智
耀輝煌、共創AI新高峰」為主題，席開800桌，超過8000位員工參與。華碩董事長施崇棠在
晚會前接受媒體聯訪時強調，今年業績為公司史上第二佳，同時也是最令他感到驕傲的一年
，因為這是華碩經過痛定思痛後的再造進化。

施崇棠在晚會前接受媒體聯訪時強調，2020年是華碩史上最具突破性的一年，實現了多項里
程碑。「今年應該會過我們有史以來第二好的業績！」同時也是最令他感到驕傲的一年，因
為這是華碩經過痛定思痛後的全面再造與升級。

伺服器提前三年達成五倍營收 設計思維是關鍵

施崇棠透露，華碩在伺服器業務上雖起步較晚，但靠著持續的努力與創新，提前三年達成了
五倍營收的目標，成為全球市場的重要參與者。他指出，設計思維的提升是推動華碩推出更
多創新產品的關鍵，從硬體到軟體的全方位布局，為未來打下穩固基礎。

AI發展聚焦強化推理能力與多元應用
針對人工智慧（AI）領域，施崇棠坦言，當前技術發展已面臨瓶頸，尤其是在訓練大模型與
強化算力的邊際效益逐漸減少的背景下。他認為，未來AI技術應朝著強化推理能力的方向發
展，解決更高難度的問題，並探索更具經濟效益的多元應用。他特別提到，華碩正全面布局
AI生態系，從超級運算到輕量模型，尋求在不同領域的突破機會。

施崇棠強調，雖然人工通用智慧（AGI）的發展速度不如預期，但華碩將持續擴展AI技術應
用，包括機器人、數據處理及智慧製造等，並致力於將設計思維融入AI產品開發中，創造更
多可能性。

機器人布局蓄勢待發 施崇棠：已掌握機會

談及機器人應用，施崇棠指出，華碩曾在相關領域進行探索，累積了寶貴的經驗，如今在馬
斯克、魏哲家等業界領袖的推動下，迎來新的機會。他透露，華碩已啟動內部計畫，未來將
集中資源發展機器人技術，並以過去的基礎為依託，搶攻市場先機，直言「華碩已徹底掌握
機會」。


"
2,[新聞]東京威力科創目標 AI 晶片設備明年占比四,4004,"東京威力科創目標 AI 晶片設備明年占比四成，彌補中國市場放緩

https://technews.tw/2024/12/20/tokyo-electron-talk-about-ai-and-china/

日本晶片製造設備大廠東京威力科創（TEL）預期在下一財年提升人工智慧（AI）相關業
務的銷售額，以彌補中國市場業務放緩。東京威力科創財務部長、資深副總裁 Hiroshi
Kawamoto 接受日經採訪時表示，公司目標是下一財年（截至 2026 年 3 月），讓 AI 在
晶圓廠設備（WFE）銷量比例占達「約 40%」。

在本財年，東京威力科創預期將有 30% 銷售額來自 AI 領域，主要供應給製造伺服器晶
片的公司設備，而這些伺服器晶片是支援 AI 應用程式的核心。這將比 2023 財年比例翻
倍。

該公司預期，下一財年有望從 AI 獲得超過 1 兆日圓（約 64 億美元）營收，高於
 2023 財年約 2,750 億日圓的財測。隨著主要晶片製造商積極擴充產能，特別是高頻寬
記憶體（HBM）的封裝與測試設備需求尤為強勁。新一代 AI 晶片的銷售價格高昂，進而
為東京威力科創帶來營收。

此前，中國晶片製造商預期美國將採取更嚴厲的出口限制，而加速採購設備，一度為東京
威力科創帶來可觀的獲利。但隨著中國推動半導體供應鏈自給自足，這些相關投資已經放
緩。

Kawamoto 表示，2026 年 3 月會計年度的對中國銷售比例將從本會計年度 40% 降至約
 30%，營收本身也可能下滑。中國銷售比例在 4-6 月當季時達到 50% 高峰，但下一財年
中國銷售額可能會下滑 10%以上，與今年超過 9,500 億日圓的歷史高點回落。

與此同時，美國本月初擴大對中國出口管制，在川普回歸後可能還會有更多限制。
Kawamoto認為，中國經濟放緩短期內不會對公司盈利造成太大影響，公司已將可預期的市
場變化納入 WFE 市場規畫，包括 AI 在內的所有應用領域的先進晶片都將成長。至於製
造 2 奈米晶片的設備，他表示「我們已經開始準備，展望未來兩年，最早在下一會計年
度貢獻營收」。

東京威力科創一直加緊取得半導體設備認證（Process of Record ，POR），這長遠看將
有助擴大市占率。Kawamoto 表示，公司在取得低溫蝕刻 POR 部分已獲得重大進展，該技
術可實現堆疊式 NAND 半導體的高速加工。

"
3,Re: [心得] 台達電人資和主管聯手霸凌勞工真實事件簿,4004,"※ 引述《zzahoward (Cheshire Cat)》之銘言：
: 下面有人提到為什麼不直接走資遣
: 因為資遣很麻煩的
: 1. 資遣有分是經營問題還是員工不適用問題，後者要走PIP留紀錄很麻煩很拖
: 2. 資遣假如是前者經營問題，要給謀職假、有預告期、要算遣散費、要資遣通報
: 3. 資遣其實會被勞動局盯上，尤其是你進入大規模解雇會有特別法規伺候
: 所以一般公司，就是走合意離職最簡單
: 那要怎麼合意? 還不是就是$$$$$$$$$$$$$$$$
: 我前公司要搞裁員，基本上就是年終比例給、1~2個月預告期不用進公司
: 最爛的N+3，好一點N+5，公司薪資結構variable的部分很少
: 預告期不扣假，簽的當下多少假都送給你
: 當時每年裁，我每年都期待能輪到我，領個大禮包直接多拿一年年薪跳槽
: 就一台BMW 3er惹
: 可惜天不從人願 ...sad...
: 那碰到台廠這個做法你根本也不用鳥他
: 他不讓你走就報警，那是強制罪
: 台廠HR多數沒什麼法律概念，以為自己幫公司做事就是無敵
: 丟一句不簽，要就是走資遣流程或勞資調解
: 然後看你每天是要去辦公室當大爺擺爛還是怎樣
: 卡被收就報警，說你裡面有私人物品同時還是雇員但公司不讓你進去
: 反正有問題就報警，公司比你還怕，因為見警率一高公司rumor就會到處傳
: 大老闆們也受不了
: 一堆低能以為公司關人畫押是沒法律了喔，只有國家才能這樣搞好嗎
: 然後台北勞動局只要有任何檢舉，就是照三餐問候各種突擊檢查
: 一堆人資會被抓去局裡面解釋，準備寫一堆報告
: 看誰比較怕 哈哈
: 至於拿reputation威脅根本就是低能
: 一堆老屁股一輩子待在裡面是能有什麼reference check參考價值?
: 真的不要怕這種，我覺得台灣很多人都太善良了，想說雙方留一線
: 打工仔被裁掉還留一線? 公司沒拿誠$意$出來留三小屁縫
: 媽的HR那麼大的一個部門，還懶得走資遣通報，數萬塊的資遣費給不起?
: 別跟我扯數萬塊加起來會破百萬，堂堂國際級大公司百萬美金才感覺會痛吧
: 而且又不是從你HR口袋掏出來的，在那邊省三洨
: 公司要資遣就是要有代價好嗎
: 我去年資遣一個情緒控管極度有問題的組員，用優退的名義
: 身為打工仔我直接給N+4，一個半月有薪預告期不用進公司，年終全給
: 未休假全部cash out
: 情緒控管不佳的同事當下控管倒是不錯，不知道是不是誠$意$很足
: 跟法規資遣方案一比真的是沒什麼好說
: 奇怪，我做到D了還是不懂台廠幫老闆省這些錢幹嘛
: 哪天輪到你你也希望有個好一點的benchmark吧?
: 怎麼會從老闆的角度去想呢?
: 想起來幾年前還有人在爭
: 本土系統廠 vs. 外商
: 當時還說台廠可以穩穩做待到變米蟲退休
: 反觀外商薪水雖然高天天裁年年裁有夠恐怖
: 現在看起來
: 哈哈
: 哈哈
: 習大大的L最近裁那麼兇都沒搞出這種鳥事好嗎
: 大禮包還搶著要勒

我來胡言亂語一下
因為我覺得台達電真的太懂得""做自己""了

首先以現代社會風氣 一家公司發生這種事情
大多數人都會選擇在社群媒體上公審+爆料

而這種類型的文章 通常關注度和點讚數都會很高
而推薦系統這種東西 最喜歡把這種歷史上關注度高的事件和文章
顯示在搜尋相關關鍵字的使用者面前惹~~~


所以我也很驚訝 這家公司的HR
哪來得膽敢做這種事情

她難道不知道這件事即使在傳統媒體的風聲關注度變低後


在這些常見的社群媒體和搜尋引擎
幾年後都還會把這些內容跳出來嗎?

這個是找幾個公關洗地也洗不完的事情

而現在其實最不好惹的就是這些常見社群媒體的民眾
只要你一觸動他們的神經
他們就把事情到處轉貼+分享
然後用一樣厲害的方式來回敬你


因此 我只能說
這家公司和HR真的是太有自信惹~~


"
4,Re: [心得] 台達電人資和主管聯手霸凌勞工真實事件簿,4004,"※ 引述 《yueayase》 之銘言：

果然不出意外


https://i.imgur.com/ozTfHM1.jpeg


104上的幸福企業, 台達電在最前面

https://bit.ly/4iNh3Sv

大家是不是誤會了什麼



: 我來胡言亂語一下
: 因為我覺得台達電真的太懂得""做自己""了
: 首先以現代社會風氣 一家公司發生這種事情
: 大多數人都會選擇在社群媒體上公審+爆料
: 而這種類型的文章 通常關注度和點讚數都會很高
: 而推薦系統這種東西 最喜歡把這種歷史上關注度高的事件和文章
: 顯示在搜尋相關關鍵字的使用者面前惹~~~
: 所以我也很驚訝 這家公司的HR
: 哪來得膽敢做這種事情
: 她難道不知道這件事即使在傳統媒體的風聲關注度變低後
: 在這些常見的社群媒體和搜尋引擎
: 幾年後都還會把這些內容跳出來嗎?
: 這個是找幾個公關洗地也洗不完的事情
: 而現在其實最不好惹的就是這些常見社群媒體的民眾
: 只要你一觸動他們的神經
: 他們就把事情到處轉貼+分享
: 然後用一樣厲害的方式來回敬你
: 因此 我只能說
: 這家公司和HR真的是太有自信惹~~
: 


"
5,Re: [心得] 台達電人資和主管聯手霸凌勞工真實事件簿,4004,"看到新聞真的不意外
身為六七年前曾經入職過台達電內湖Office
當時主管真的就是毫無長進的老人，每當有新人來也從來沒在下帶。然後再說新人不積極
就我旁人的角度真的是主管問題很大，然後考績就是讓新人墊底吃E。

久而久之留下來的都是毒瘤，新人來就想盡辦法凹他 弄他
連準時下班都能在旁邊講閒話，後來我也受不了台達文化也閃了

走之前客戶找我的事情，我就故意做錯 亂弄
反正就是要拉主管下水害他被唸，反正我也沒差。外面隨便找工作都比台達文化好

奉勸各位受不了公司文化儘早離開，不是你的問題。是公司問題
但別忘記離開前衝康主管，因為他們走不了。

離開後發現很多公司及主管正常很多，另外當時我碰到的人資人不錯。
只是我猜他應該也離職了，畢竟好人都做不久。

台達當時唯一好處只有停車月租1200跟吃飯很省錢

"
6,Re: [心得] 台達電人資和主管聯手霸凌勞工真實事件簿,4004,"※ 引述 《gothmog》 之銘言：
: 果然不出意外
: https://i.imgur.com/ozTfHM1.jpeg
: 104上的幸福企業, 台達電在最前面
: https://bit.ly/4iNh3Sv
: 大家是不是誤會了什麼

這個花錢就有了一堆一線外商WLB福利一堆都沒在上面了，看看翻到隔壁那頁最受員工吸引
大獎第一名還是7-11就知道了。

https://i.imgur.com/ENGUDEG.png

"
7,[討論] 清華大學副校長證實台達電跳樓員工優異,4004,"垃圾台達電今天下午開始用了大量公關帳號狂帶風向說兩位受害員工是在台達表現太差

昨天先是抹黑跳樓那位清大生是自己不善言辭績效墊底

今天下午又抹黑「被逼自願離職者」是因為開會睡覺才遭到「資遣」，發現前後矛盾後又
刪掉留言


清華大學副校長 簡禎富博士
出來為自己的學生說話了
台達電繼續垃圾沒關係

清大學弟今天晚上11點頭七
做鬼請也不要放過台達電

https://i.imgur.com/XCcxu00.jpeg

https://i.imgur.com/uDolnN9.jpeg

https://i.imgur.com/obDR0oQ.jpeg

https://i.imgur.com/ux7vk4k.jpeg

"
8,Re: [心得] 台達電人資和主管聯手霸凌勞工真實事件簿,4004,"
最近看到這個遺憾消息，又讓我想起以前一段往被資遣事，忍不住回個文
想當年我年資剛滿1.5年，還很嫩；

任職創新x路上的一間人數不多的小公司，那間公司營運一直普普
直到老闆痛下決心要砍掉某些產品線，
於是我們部門就開始裁員，第一波就先把年資不滿三年的全砍了
想當然我就在首波被砍

某天上班日我還在準備下午例行會議報告，整理前幾天的數據圖片
結果主管突然叫我到小房間去談話，
我一進去就發現人資(女約35y)  整理好一堆資料等我，
主管首先bala一堆公司最近要轉型，我們這個單位要裁員所以不能留你之類的
我首先是很訝異，我還在尋求說要轉型的方向是什麼，
能不能讓我留下來，我也可以調整工作方向，主管說不行這已是既定事實；

人資接著就直接拿出準備好的自願離職書叫我直接簽了，
如果不簽會變資遣，會影響你職涯發展bala，
人資與到威脅說這紀錄會跟你一輩子，
業界很小你將來下一份工作雇主肯定會 reference check
如果你的離職原因是自願離職我們不會(在 refernece check)為難你....

我沉默了一下問說會不會有給謀職假之類的，起碼讓我有點時間找衝好讓我找下家
人資直接拒絕說就是沒有，你只有當場簽字離職一條路可以選

後來另一個人資長官(更老一點的中年女)也進來說項，感覺他們就是一個扮黑臉威脅一個扮白臉緩頰
我說我想回去考慮一下，他們說這就是公司政策沒什麼可以給你考慮
我當時已經有點不耐煩，
我覺得跟這些人資根本沒什麼好談
他們根本不給我任何討價還價的餘地，索性就直接簽了

簽了以後他們感覺就鬆了口氣，說你可以去收東西了
我回去就發現我電腦被鎖了，人資直接跟我到座位區拿回我識別證
人資接著說如果太重的東西(例如書)之類的不方便帶走
留個地址我們幫你寄回去，我說不用了，就直接走了!


後來這公司聽說是被併了還是倒了，人資叫啥明我也忘了，
所幸到後來沒有再碰到這種鳥事
我如果當時就堅持不簽，會如何呢??


"
9,[心得] 以後各校與台達電的產學合作,4004,"大家都知道的

上市櫃公司往往會跟一些大教授簽產學合作

畢業學生可以直接入職

啊這次的跳樓

會不會讓台達的產學合作生變啊？

我想看血流成河啊！

"
