,標題,分類,內文
0,[問片] 沉默艦隊 前傳,10426,"安安各位大哥哥姐姐好

原來我小時候就有看過電影版 沉默的艦隊前傳

海江田艦長 本名是 海珊

在東方公主號郵輪 詐財 騙賭客的老千

https://i2.kknews.cc/y87zw4w5Slfv-u47lZ1OoKySCIgIDWr-hg/0.jpg

後來詭計被賭俠抓之後才改名海江田

484這樣劇情

就連貫^^

"
1,[新聞] 為什麼這些美國賣座電影在國際市場不吃香,10426,"※ [本文轉錄自 boxoffice 看板 #1dPKUFrk ]
為什麼這些美國賣座電影在國際市場不吃香了
https://vocus.cc/article/676425c5fd89780001fc994e

票房分析專家：「全球市場新秩序已經發生，而好萊塢片廠還沒有完全跟上這個變化。」


雖然聖誕節檔期還未真正開始，但許多年底結算數據的預估已經陸續出爐。

全球票房目前的估算可能會比去年更顯著下滑，預計大約可能會落在305億美元到310億美
元之。

而今年最大的贏家應該是 Disney。重返 Disney 執行長職位的 Bob Iger，下半年藉助《
腦筋急轉彎2》（Inside Out 2）、《海洋奇緣2》（Moana 2）和《死侍與金鋼狼》（
Deadpool & Wolverine）終於扳回一城。而這幾部非常巧合地都是他先前主導或參與併購
的公司所屬IP。

不過 Variety 注意到了今年全球市場另一個反常的現象：過往好萊塢賣座大片通常會有
非常穩定的大約60~70%票房是來自國際市場。今年卻有三部在美國熱賣的好萊塢電影都沒
有在國際市場獲得同樣的熱度。

它們分別是：
國際市場票房只佔31.5%的《魔法壞女巫》（Wicked）；國際票房佔34.8%的《陰間大法師
2》（Beetlejuice Beetlejuice）；和國際票房僅僅27.8%的《龍捲風暴》（Twisters）
。

美國電影到底出了什麼問題，使得它們的國際市場表現不再穩定、不再容易預測？

文中有些個別電影的特殊處境分析。比如《龍捲風暴》的北美發行和國際發行分屬
 Universal 和 Warner 兩家公司，而其中只有 Universal 找到了特殊的市場利基——美
國中西部觀眾，並成功透過溝通撬動他們出門買票。《陰間大法師》則是第一集原本就只
在北美市場反應熱烈，拖延40年的續集更難以改變這個宿命。

不過這篇文章的真正重點在 Fandango 的市場分析主管 Shawn Robbins 指出的全球板塊
變化——好萊塢電影已經失去中國市場的優勢地位，此外俄羅斯市場因為烏俄戰爭因素已
經完全歸零（好萊塢片廠全部退出俄羅斯市場）。這兩大市場的損失對於好萊塢電影全球
票房造成了不小衝擊。

此外，可能影響更深遠的因素是 COVID-19 和好萊塢大罷工造成的新片延誤還有這一年多
來片廠新片減產的結果，見縫插針的他國產品已經一定程度侵蝕好萊塢電影長期佔據的板
塊。這一年來許多不可預測的票房表現，很可能都出自這些肉眼看不太到的板塊變化。而
且由於好萊塢減產的趨勢短期內可能不會逆轉，使得這個因素影響可能遠比疫情或罷工的
衝擊來得更加持久不去。

見縫插針的最好案例就是本土票房市占率達到4成的歐洲本土電影，已在好萊塢電影慘淡
的2024年成功協助歐洲電影市場完全恢復到疫情之前的票房水準。

歐洲觀眾遠比美國觀眾更習慣在大銀幕上閱讀字幕，使得強勢的歐洲產品比如法國電影能
在語言不通的其他歐洲國家得到更多票房回報，成功卡到美國電影急流湧退後留下的灘頭
。

就像票房分析專家說的，全球市場新秩序已經發生。好萊塢電影的不穩定表現，對有些做
好準備的替代產品來說是一個祝福。




"
2,[情報] 《LAST MILE：全面引爆》上映戲院列表,10426,"#上映戲院列表來了

https://i.imgur.com/8bv7b1G.jpeg

日本５週票房冠軍！賣座突破59億！

懸疑災難鉅作《LAST MILE：全面引爆》

12月20日(五) 全台上映


https://i.imgur.com/zL8uKuC.jpeg

LAST MILE－最後一哩路。

供應鏈遞送中的最後一步，也是最關鍵的一個環節－把貨品送到最終目的地，也就是顧客
手上。隨著全球物流的發展，最後一哩路變得越來越重要。


https://i.imgur.com/rt83Cid.jpeg

《LAST MILE：全面引爆》

12月20日(五) 全台上映

  https://youtu.be/JcZyVArZf18?si=WhY2b-wKDhXhvVJh

導演塚原亞由子 x 編劇野木亞紀子攜手打造

《法醫女王》《MIU404》共同宇宙最強新作電影

初戀女神滿島光 x 實力派男神岡田將生睽違14年大銀幕共演

《法醫女王》石原聰美，《MIU404》綾野剛、星野源夢幻連動

藤岡靛、松重豐、窪田正孝、麻生久美子…豪華卡司驚喜現身

日本音樂鬼才 米津玄師 演唱主題曲《破銅爛鐵》

2024 報知電影獎 最佳導演


11月，分銷業界最大的活動之一「黑色星期五」前夕，發生世界級購物網站發送的紙箱接
連爆炸的事故，這些事故最終演變為讓全日本陷入恐慌的神祕連續爆炸事件。

剛上任的物流中心負責人舟渡艾蓮娜（滿島光 飾），必須和團隊經理梨本孔（岡田將生
飾），共同收拾這前所未有的局面。

究竟是誰、為了什麼目的設置炸彈？剩下的炸彈還有幾個、它們現在又都在哪裡？

資料來源：車庫娛樂

"
3,"[新聞]【我推的孩子】電影邁完結,齋藤飛鳥曝謊言",10426,"新聞網址：https://cciitw.pixnet.net/blog/post/234430947
《【我推的孩子】電影版》邁入完結  齋藤飛鳥驚爆「出生就在說謊」

漫畫銷量累計突破2000萬冊、轟動全球的現象級作品《【我推的孩子】》，在高度討論與
萬眾期盼之下，終於真人化推出《【我推的孩子】電影版》，並將透過電影邁向最終完結
。本片今日（12/20）在日本上映，導演史密斯也率領主要演員櫻井海音、齋藤飛鳥、齊
藤渚、原菜乃華、茅島水樹、ano、金子統昭等人，於昨晚（12/19）共同出席位在東京的
「前夜祭」舞台問候活動。眾人不僅分享演出心情，更配合片中拍攝的劇中劇《15年的謊
言》，曝光自己「最近說過的謊言」。只見眾人分享無傷大雅的謊言之餘，齋藤飛鳥卻驚
爆自己「從出生就一直在說謊。」尤有甚者，現年23歲的男主角櫻井海音，更投出震撼彈
說自己「實際上已經29 歲」，讓現場掀起軒然大波，更讓一旁的女星們驚呼：「這不是
騙人的吧？！」眼看現場氣氛貌似不太對勁，才讓他苦笑澄清：「我用奇怪的謊言讓現場
氣氛變得很奇怪，真是抱歉。」值得一提的是，本片國際版權狂銷52國，也確定由「采昌
國際多媒體」取得台灣版權，正式定檔明年1月17日在台上映。


櫻井海音「感慨萬千」透露演出壓力  齋藤飛鳥面對正負評價都OK

讓全世界為之瘋狂的現象級作品《【我推的孩子】》，在眾多的討論與期盼之下，終於真
人化登上大銀幕。本片講述一個追查傳奇偶像「小愛」死亡真相的故事，而擁有前世記憶
，轉生成小愛子女的雙胞胎兄妹「阿葵亞」與「露比」，則追循著小愛的身影，投身進演
藝圈，並逐漸被其中的光與暗所吞噬。本作從2020年開始，由知名漫畫家赤坂明與橫槍萌
果，以共同名義在《週刊YOUNG JUMP》上開始連載，以「轉生成偶像之子」的奇幻設定與
寫實描繪，搭配扣人心弦的懸疑轉折，以及義無反顧踏入名為「演藝圈」的複雜世界等前
所未見的衝擊劇情，在各個年齡層間注入大量人氣。截至2024年12月的漫畫累積銷量，更
是突破2000萬冊，可說是現象級的人氣之作。對於原著漫畫的熱愛，以及為了將本作的精
湛劇情魅力，透過不同媒介給表現出來，製作團隊也推出真人化「戲劇」與「電影」版。
尤其電影版將專注刻畫小愛遇害事件的真凶，以及阿葵亞跟露比的生父之謎，可說是系列
作品的最終完結之作。


本片交由知名MV導演史密斯執導，他昨晚（12/19）也率領主要演員櫻井海音、齋藤飛鳥
、齊藤渚、原菜乃華、茅島水樹、ano、金子統昭等人共同出席「前夜祭」舞台問候活動
。飾演阿葵亞的櫻井海音，本身是天團「Mr. Children」主唱櫻井和壽的兒子。首度演出
電影的他，在活動上透露當下情緒「感慨萬千」，更分享人氣作品真人化的壓力：「回顧
收到邀約到現在已經兩年，我無法逃避當時感受到的壓力和恐懼。今天站在這裡，讓我感
到無比開心，終於可以透過作品傳遞給這麼多人觀賞。」至於演繹傳奇偶像「小愛」的齋
藤飛鳥，本來就是偶像出身，據悉她曾婉拒演出，最後仍以堅韌決心扮演這個角色；而早
先的戲劇版獲得觀眾如潮好評，也讓她感謝：「這是一部非常受歡迎的作品，所以如果有
任何回饋，無論是支持還是反對，我都會很高興。」更接著表示：「從拍攝開始就很緊張
，這是我們全心全意創作的作品，向包括原著作者、粉絲與首度接觸到本作的人們致以最
大的敬意。」


齋藤飛鳥曝「26年的謊言」  23歲櫻井海音驚爆已經29歲掀波瀾

值得一提的是，《【我推的孩子】電影版》劇情也將還原原作中所要拍攝的劇中劇《15年
的謊言》。因此，演員們也各自分享「最近說過的謊言」。飾演「露比」的齋藤渚表示：
「我告訴我家的狗，我很快就會回家，但從那以後已經大約六個月沒有回家了。」飾演「
黑川茜」的茅島水樹則說：「因為想和櫻井先生成為朋友，所以撒謊說我沉迷於櫻井先生
正在玩的手遊。」飾演「有馬加奈」的原菜乃華表示，當她還是童星時，為了通過試鏡，
揚言可以做到一些自己無法辦到的事：「因為我認為，如果之後好好練習並做到的話，就
不會是謊言了…，所以就撒謊得到一些角色。」而演繹「MEM CYO」的人氣歌手ano，則透
露曾收到某位藝人的聚會邀請，但她無法參加，只是後來忘了回覆，直到聚會結束後才想
到這件事，於是慢半拍回覆「我可以去！」她笑稱這是她經常使用的小手段：「與其直接
用謊言拒絕，不如這樣回應顯得更直接乾脆，推薦大家使用這種方式來處理此類情況。」


至於現年26歲的齋藤飛鳥，則透露她長達「26年的謊言」：「我覺得我從出生就一直在說
謊，甚至每天都在說謊。」當主持人追問有誰知道自己的真面目時，她也回應「不會有人
知道的」，展現自己神秘的一面。然而引發現場軒然大波的，莫過是現年23歲的櫻井海音
：「雖然我公開自己23歲，但實際上我已經29 歲了。」一席話讓場內頓時鴉雀無聲，一
旁的齊藤渚則驚訝：「真的嗎？你是今天要暴露真實年齡了嗎？這不是騙人的吧？！」只
見櫻井以平靜語氣接著說：「這就是我的真實年齡。」不過當主持人追問他的出生年份時
，他一時語塞無法立即回應，也間接證明他在說謊，這時才讓他鬆口：「（我說謊的那一
刻）場內的相機快門真是閃得太瘋狂了。這其實是個謊言，我一生中還沒能說謊到這種程
度。」不過面對場內一陣騷動，他自己也苦笑：「我用奇怪的謊言讓現場氣氛變得很奇怪
，真是抱歉。」


這部轟動全球現象級作品，改編真人版登上大銀幕的《【我推的孩子】電影版》，正式定
檔明年1月17日在台上映。本片劇情描述任職偏遠醫院的婦產科醫生雨宮吾郎（成田凌飾
演），是超人氣偶像星野愛（齋藤飛鳥）的忠實粉絲，沒想到小愛某天竟現身在他面前看
診，吾郎更驚訝得知小愛懷了一對雙胞胎，讓他下定決心要好好守護小愛的孩子。然而，
吾郎卻在小愛預產期準備分娩當天，被人推下懸崖殺害。以為自己已經死亡的吾郎，赫然
發現自己意外轉生成小愛生下的雙胞胎兄妹中的阿奎亞（櫻井海音飾演）。不明原因成為
偶像之子的他，原以為從此可以跟小愛與妹妹露比（齊藤渚飾演）過著幸福快樂的生活，
沒想到某天卻再度出現變故，讓阿奎亞決定展開復仇並找出兇手…。此時，一部以小愛為
主角，並奠基在她人生故事改編的電影《15年的謊言》即將開拍，也讓阿奎亞的復仇齒輪
再度轉動…。


欲知本片最新消息，
請上電影官方臉書粉絲團https://www.facebook.com/ccasiaworld
與Instagram專頁https://www.instagram.com/caichang_film查詢。


"
4,[新聞] 曾拒絕《蜘蛛人》綠惡魔，也不願當湯姆克,10426,"
曾拒絕《蜘蛛人》綠惡魔，也不願當湯姆克魯斯死對頭！比利鮑伯松頓解釋為什麼不願意
接演大片反派

https://news.agentm.tw/311418/

知名演員比利鮑伯松頓 (Billy Bob Thornton) 近期接受「Bingeworthy」 podcast 專訪
時透露，他曾婉拒兩個重量級反派角色：山姆雷米版《蜘蛛人》中的綠惡魔，以及《不可
能的任務 3》中試圖殺害阿湯哥的軍火商歐文戴維安。比起他們，松頓寧願當《聖誕壞公
公》裡滿口汙言穢語的聖誕老人。

比利鮑伯松頓揭露拒演大片反派原因

「我對這種類型的角色沒有太多興趣，」

松頓坦言，

「綠惡魔的話，我才不想凌晨四點就起床化妝五、六個小時。至於《不可能的任務 3》，
我更不想當那個追殺湯姆克魯斯的壞蛋。如果你是大片裡的反派，觀眾永遠會記得你
的這個樣子。我比較喜歡保持角色的靈活性和不可預測性。」

威廉達佛成就經典反派，更有意再演綠惡魔

最終這兩個角色分別由威廉達佛和菲利浦西摩霍夫曼飾演，兩部電影都創下亮眼票房，而
達佛飾演的綠惡魔更被譽為漫改電影中最經典的反派之一。他不僅在《蜘蛛人：無家日》
中重現江湖，還表示有興趣第三度扮演這個角色。

「如果一切條件都合適的話，當然可以，」

達佛去年接受 Inverse 採訪時表示：

「這是個很棒的角色。我喜歡它是個雙重角色的設定。無論是 20 年前還是最近這次，都
是截然不同的體驗，但我玩得很開心。」

在宣傳《蜘蛛人：無家日》時，達佛強調他回歸的主要條件就是不能只是客串。

「我真的不想只是打個照面，」

他向 The Mary Sue 表示：

「我希望有足夠份量的戲份，而不是蜻蜓點水。另外，我也說了我真的想參與動作場面，
因為這對我來說很有趣，這是讓角色紮根的唯一方式，否則就只會變成一堆迷因。」

比利鮑伯松頓主演 Paramount+ 原創影集《Landman》

至於松頓，他正在 Paramount+ 原創劇集《Landman》擔任主角，飾演石油公司的土地管
理員。本劇故事背景設在德州西部傳說中的石油淘金小鎮，描繪現代人在油田中追逐財富
的故事。

直至今日，松頓依然和好萊塢的超級英雄電影保持距離。

"
5,[新聞] 衛詩雅苦練破地獄 哀怨導演磨人精,10426,"https://ent.ltn.com.tw/news/paper/1683008

衛詩雅苦練破地獄 哀怨導演磨人精

2024/12/20 05:30

https://img.ltn.com.tw/Upload/ent/page/800/2024/12/20/31.jpg
導演陳茂賢（左）、衛詩雅為《破．地獄》來台謝票，感謝台灣觀眾熱情支持。
（記者潘少棠攝）

自認手腳不協調靠勤補拙 陳茂賢加碼常換經文

〔記者鍾志均／台北報導〕港片《破．地獄》在香港叫好叫座，昨在台正式賣破千萬，口
碑延燒，女主角衛詩雅和導演陳茂賢來台謝票，感謝觀眾支持；衛詩雅這次為「破地獄」
儀式苦練9個月，又要身兼救護人員，直呼完全脫離舒適圈，把「救生圈」都拿掉了。

聊到難以執行的「破地獄」儀式，衛詩雅自認手腳不協調，甚至連轉圈都會頭暈，拍攝時
陷入自我懷疑，不過她說：「我腦袋不靈光，比較慢、比較笨，但我很勤奮，人家練十遍
，我就練一千遍。」

片中職業是救護人員的衛詩雅，天天找健身教練陪練，最後體能真的和救護員一樣，不過
話鋒一轉，她說和導演合作第三次，「他這次把救生圈都拿走，讓我沒有安全感，還時常
更換難背的經文。」陳茂賢則爆料，拍攝團隊的原則是「不能對衛詩雅太好」，讓她有孤
立無援的感覺，最後成功逼出極限。

《破·地獄》透過香港殯葬業文化，講述和家人之間的羈絆，衛詩雅在片中和「父親」許
冠文、「哥哥」朱栢康相處不睦，不過她透露現實和電影相反，平常和家人相處充滿愛，
甚至愛到有些過分。

衛詩雅表示時常和爸爸通電話，一聊就是一小時，內容不外乎是閒話家常；衛詩雅坦言，
最近身邊有很親的人離開，發現自己還沒想通（指接受親人離世），「看來再多看幾遍電
影，應該會有幫助。」《破·地獄》在台上映中。

"
6,[討論] Keira Knightley表示自己可以當007主角,10426,"https://www.instagram.com/reel/DDUJ3aBv1W_

綺拉奈特莉（Keira Knightley）接受訪問時表示
她自己絕對可以勝任龐德這個角色

在亞倫強森傳出被判出局，這發言有點曖昧
DEI要來蹭一下嗎？


"
7,[新聞] 迪士尼《白雪公主》真人電影 全新國際版,10426,"迪士尼《白雪公主》真人電影「全新國際版」預告片釋出！白雪「名字由來」畫面首公開

Joker

https://i.imgur.com/y0l1d74.jpeg

（圖片來源：迪士尼影業）

迪士尼影業明年春季的童話鉅製《白雪公主》（Snow White）真人電影，今天特別公開了
一支海外限定的國際版預告片，總長約兩分半鐘，只有部份國家的官方頻道有上線。

整支預告片包含不少新畫面，例如一開頭便提及了白雪公主之所以被命名為白雪，不是因
為肌膚雪白，而是她因為在大雪紛飛的季節裡出生，就如同女主角 瑞秋齊格勒（Rachel
Zegler）先前透露的那樣。

就連後半段，魔鏡也用白雪來形容她心靈的純淨。

※ 國際版預告片請見下方連結 ▼

https://youtu.be/UR2duNzGV18?si=iNORj_027J_mV1X_

https://i.imgur.com/qMHZqgj.jpeg

（圖片來源：迪士尼影業）

《白雪公主》由《蜘蛛人：驚奇再起》（The Amazing Spider-Man）系列導演 馬克偉伯
（Marc Webb）執導，劇本則由《芭比》（Barbie）導演 葛莉塔葛薇（Greta Gerwig）、
《怪咖情緣》（Secretary）編劇 艾琳克蕾西達威爾森（Erin Cressida Wilson）共同執
筆。

本片由《樂來越愛你》（La La Land）製片人 馬克普拉特（Marc Platt）監製，《樂來
越愛你》編曲搭檔 班傑帕塞克（Benj Pasek）、賈斯汀保羅（Justin Paul）亦加入譜寫
新曲目。

其餘卡司包括：「壞皇后」蓋兒加朵（Gal Gadot）、擔綱新角色「強納森」的安德魯伯
納普（Andrew Burnap）等人。

北美預定明年 03 月 21 日上映，台灣則於明年 03 月 20 日正式登場。


文：Joker


https://www.toy-people.com/?p=95649
https://i.imgur.com/TOpRDO7.jpeg

https://i.imgur.com/y1xnAnu.jpeg

https://i.imgur.com/Xxgp9HG.jpeg

"
8,[片單] 男生看了不會太無聊的聖誕電影,10426,"如題

不要太粉紅泡泡

男生也可以輕鬆看的電影
目前喜歡love actually

有沒有類似的歐美賀歲片
輕鬆小品

"
9,[情報] 2024 聖路易斯影評人協會 得獎名單,10426,"最佳影片

《沙丘：第二部》

順位：《艾諾拉》

最佳國際影片

《一念菩提》│德國

順位：《世界末日又怎樣》│羅馬尼亞

最佳動畫片

《荒野機器人》

順位：《酷狗寶貝之復仇企鵝》

最佳紀錄片

《你的國，我的家》

順位：《超/人: 克里斯多夫李維傳奇故事》

最佳導演

Denis Villeneuve 《沙丘：第二部》

順位：Mohammad Rasoulof《一念菩提》

最佳男主角

Colman Domingo《Sing Sing》

順位：Adrien Brody《粗獷派建築師》

最佳女主角

Mikey Madison《艾諾拉》

順位：Marianne Jean-Baptiste《Hard Truths》

最佳男配角

Kieran Culkin《跳痛之旅》

順位：Denzel Washington《神鬼戰士II》

最佳女配角

Aunjanue Ellis-Taylor《Nickel Boys》

順位：Ariana Grande《魔法壞女巫》

最佳整體演出

《秘密會議》

順位：《Saturday Night》

最佳聲音演出

Lupita Nyong’o《荒野機器人》

順位：Maya Hawke《腦筋急轉彎2》

最佳原創劇本

《Saturday Night》

順位：《Hard Truths》

最佳改編劇本

《秘密會議》

順位：《沙丘：第二部》

最佳攝影

《吸血鬼：諾斯費拉圖》

順位：《沙丘：第二部》

最佳剪輯

《Nickel Boys》

順位：《Saturday Night》

最佳美術設計

《吸血鬼：諾斯費拉圖》

順位：《魔法壞女巫》

最佳服裝設計

《魔法壞女巫》

順位：《吸血鬼：諾斯費拉圖》

最佳視覺效果

《沙丘：第二部》

順位：《猩球崛起：王國誕生》

最佳特技

《特技玩家》

順位：《芙莉歐莎：瘋狂麥斯傳奇篇章》

最佳原創配樂

《粗獷派建築師》

順位：《挑戰者》

最佳電影原聲帶

《巴布狄倫：搖滾詩人》

順位：《魔法壞女巫》

最佳首部長片

《Nickel Boys》│RaMell Ross

順位：《鋼琴課》│Malcolm Washington

最佳喜劇電影

《貍太怨》

順位：《死侍與金鋼狼》

最佳恐怖電影

《吸血鬼：諾斯費拉圖》

順位：《懼裂》

最佳動作電影

《芙莉歐莎：瘋狂麥斯傳奇篇章》

順位：《沙丘：第二部》

最佳電影場景

《帝國浩劫：美國內戰》「“你是哪種美國人？”」

順位：《芙莉歐莎：瘋狂麥斯傳奇篇章》「武裝運輸車戰鬥」

"
